"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",4,14,8,5,21,23,6,4,4,3,20,16,15,18,13,21,5,9,17,6,16
"2",23,18,15,2,8,10,22,20,6,18,5,18,10,22,10,20,23,7,16,20,9
"3",7,24,2,19,18,9,15,14,2,20,21,15,3,12,23,10,7,4,9,18,7
"4",21,10,22,4,16,8,16,16,3,17,10,8,21,9,16,9,4,20,21,3,21
"5",13,8,4,9,5,3,20,21,12,12,18,2,4,20,21,23,11,10,23,11,23
"6",2,2,18,3,11,15,2,7,23,10,15,7,5,3,17,11,15,5,22,19,11
"7",3,6,9,6,3,7,17,5,19,15,8,25,12,16,3,5,6,18,11,15,6
"8",19,22,19,17,12,20,9,10,11,9,11,24,17,17,22,24,9,22,24,22,5
"9",20,7,17,22,20,11,19,3,15,4,19,11,9,19,19,4,21,16,8,23,18
"10",6,15,14,15,22,5,25,18,18,25,14,5,14,2,12,25,8,25,3,21,15
"11",9,11,16,23,7,16,12,23,20,7,7,20,11,6,24,18,3,2,10,4,19
"12",25,13,11,21,2,14,1,12,1,11,13,13,24,24,7,1,10,1,1,14,25
"13",11,16,20,10,4,21,21,2,7,22,16,19,23,4,20,7,16,13,4,8,8
"14",5,25,12,11,15,12,3,8,14,21,4,3,22,25,25,17,24,17,12,9,20
"15",12,17,3,1,13,2,13,11,22,1,1,23,19,11,14,12,19,11,2,25,24
"16",17,19,13,25,24,1,11,1,9,13,2,12,1,1,1,13,1,14,25,12,12
"17",18,20,10,8,23,22,7,19,16,14,9,4,7,15,15,6,18,3,6,2,2
"18",24,1,1,13,25,25,24,25,25,6,6,14,25,13,18,16,12,19,13,13,10
"19",16,9,5,20,17,18,18,6,21,23,12,10,18,8,6,22,22,6,19,10,3
"20",15,3,23,12,6,24,10,15,17,19,24,9,20,21,4,15,2,8,7,24,13
"21",1,21,25,24,1,13,23,13,13,2,25,1,13,10,9,14,13,15,18,1,1
"22",14,23,7,7,10,17,14,24,5,8,22,6,16,5,2,2,20,23,14,17,17
"23",22,4,6,18,9,6,4,9,10,16,23,21,6,7,11,19,17,21,5,5,14
"24",10,12,21,14,14,4,8,17,24,5,17,17,2,23,5,8,25,24,15,7,4
"25",8,5,24,16,19,19,5,22,8,24,3,22,8,14,8,3,14,12,20,16,22
