"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",24,11,14,14,11,23,6,11,3,1,15,22,6,6,8,9
"2",8,20,21,4,7,20,9,5,8,19,9,12,10,11,4,20
"3",5,8,15,10,10,21,16,19,17,15,19,7,21,5,19,18
"4",19,19,3,22,12,16,5,23,21,21,24,10,9,9,17,6
"5",4,12,6,5,19,17,22,13,19,10,6,9,7,24,5,7
"6",22,10,10,23,8,4,11,2,10,16,7,8,19,23,12,10
"7",9,24,20,16,24,9,12,21,11,7,8,4,2,4,15,8
"8",25,13,24,1,22,7,18,10,23,25,14,6,15,7,13,24
"9",21,16,4,6,4,6,14,18,16,4,11,18,4,16,20,19
"10",16,18,7,18,20,18,20,3,6,5,16,11,17,2,25,16
"11",17,5,25,12,14,13,4,14,5,14,1,5,5,22,24,21
"12",1,25,13,25,2,25,2,9,22,9,12,1,13,18,23,14
"13",3,6,1,15,5,10,24,6,12,24,2,23,12,3,18,12
"14",6,14,19,24,17,3,19,15,7,18,17,20,8,15,22,3
"15",7,17,23,9,15,11,7,4,20,3,23,19,20,21,14,11
"16",2,7,2,21,16,8,8,22,2,8,13,14,23,12,3,23
"17",14,22,5,11,3,12,15,12,4,23,18,3,22,17,7,4
"18",11,2,11,2,13,1,23,25,9,2,25,2,11,13,9,15
"19",12,21,9,13,21,2,3,16,18,17,3,21,18,8,6,17
"20",20,15,17,8,25,24,25,24,1,20,5,15,25,19,16,13
"21",13,9,16,7,1,5,1,1,25,13,20,13,1,1,1,1
"22",18,1,12,3,18,15,10,7,14,11,10,25,24,10,21,2
"23",10,3,8,20,23,22,13,8,15,22,21,17,3,20,11,22
"24",15,4,22,19,6,19,17,17,24,6,4,16,16,14,10,5
"25",23,23,18,17,9,14,21,20,13,12,22,24,14,25,2,25
