"","V1","V2","V3","V4","V5","V6","V7"
"1",9,23,12,16,11,17,7
"2",17,19,22,2,14,12,4
"3",7,12,4,18,15,25,20
"4",22,22,2,14,16,9,16
"5",15,16,6,5,25,18,17
"6",19,6,17,19,17,19,2
"7",11,10,3,6,9,1,3
"8",2,18,10,21,8,14,24
"9",13,20,19,10,19,23,23
"10",12,1,5,22,20,11,11
"11",14,13,24,20,6,7,9
"12",24,2,25,8,10,16,22
"13",6,21,7,11,1,6,1
"14",21,11,9,9,21,15,8
"15",5,24,23,25,22,21,15
"16",23,15,14,23,3,24,5
"17",8,5,13,1,23,8,25
"18",16,4,11,12,7,22,14
"19",4,14,16,7,13,10,13
"20",18,8,8,24,12,5,21
"21",10,9,20,15,2,13,18
"22",3,3,21,13,18,4,6
"23",25,17,18,17,24,2,12
"24",20,25,15,4,5,3,19
"25",1,7,1,3,4,20,10
