"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",10,23,21,21,18,7,6,17,18,18,9,4,22,16,25,7,7,12,7,23,19,12,18,4
"2",8,19,23,12,20,24,23,23,3,7,18,15,11,17,20,20,5,22,11,6,6,16,12,2
"3",22,6,18,7,9,5,7,9,5,8,5,18,9,19,21,5,9,11,20,2,21,17,8,18
"4",1,16,15,4,14,19,24,15,6,21,10,1,24,21,15,6,14,23,18,14,12,3,3,22
"5",17,8,10,9,22,3,20,4,10,23,17,5,3,4,10,9,6,19,6,5,14,11,21,19
"6",11,11,11,14,4,21,8,20,4,16,2,6,16,9,6,4,2,4,4,7,10,23,2,11
"7",9,3,24,18,12,10,25,7,11,17,23,23,20,10,3,24,11,3,16,4,18,2,14,14
"8",4,15,7,20,17,16,5,21,20,9,20,19,4,22,5,10,22,15,8,3,15,5,7,17
"9",20,4,12,22,2,20,9,6,15,1,16,7,25,15,17,22,17,21,10,9,22,10,6,8
"10",15,9,25,1,24,1,10,19,12,13,7,25,8,13,11,16,18,17,12,25,1,1,1,10
"11",7,24,1,3,1,17,19,14,13,12,11,12,12,6,1,2,25,18,19,1,23,14,19,9
"12",19,12,17,24,8,15,16,24,21,20,3,13,2,11,2,23,8,20,21,22,7,13,11,23
"13",13,1,13,2,21,13,1,25,25,11,13,11,13,24,12,25,13,1,1,13,20,18,25,25
"14",12,5,4,19,7,2,17,12,1,14,19,3,15,23,24,18,23,16,14,20,11,24,15,24
"15",2,7,5,8,15,23,21,3,22,22,4,20,14,12,19,14,19,7,3,21,17,15,10,7
"16",16,20,2,16,10,12,2,2,16,19,14,22,10,2,23,1,12,24,9,15,3,21,5,15
"17",21,10,6,5,3,8,15,22,19,10,15,21,23,1,18,11,4,6,17,12,9,4,16,1
"18",24,17,20,17,6,14,22,18,8,4,8,9,7,5,22,17,20,5,5,16,16,6,23,16
"19",6,13,19,10,5,4,14,10,23,2,24,17,18,18,8,3,15,25,2,19,5,9,20,12
"20",14,21,8,25,13,25,12,1,2,5,12,24,17,14,7,13,3,13,25,17,24,7,24,20
"21",3,22,16,11,23,6,11,5,17,6,6,8,21,3,4,19,21,9,15,11,8,20,9,21
"22",5,2,9,23,16,9,18,16,9,3,21,10,6,7,13,8,10,8,23,18,2,19,4,5
"23",18,14,3,15,19,11,3,11,7,24,1,14,19,20,14,21,24,10,22,8,4,8,22,6
"24",23,18,22,6,11,22,4,8,24,15,22,2,5,8,9,15,16,14,24,10,13,22,17,3
"25",25,25,14,13,25,18,13,13,14,25,25,16,1,25,16,12,1,2,13,24,25,25,13,13
