"","V1","V2","V3","V4","V5"
"1",5,6,1,4,2
"2",2,5,6,5,5
"3",6,5,2,2,6
"4",4,6,5,6,3
"5",4,5,4,1,2
"6",5,2,3,1,1
"7",4,3,3,1,5
"8",2,1,4,2,4
"9",5,1,1,2,4
"10",4,5,2,4,4
"11",2,4,2,3,2
"12",1,4,4,1,5
"13",5,4,6,2,3
"14",1,4,3,5,3
"15",6,2,6,3,5
"16",2,1,6,1,3
"17",2,5,1,1,3
"18",3,6,3,2,1
"19",6,1,3,6,2
"20",1,6,1,3,5
"21",2,3,4,6,2
"22",5,3,6,6,4
"23",2,6,4,6,4
"24",2,3,1,5,6
"25",6,3,2,3,3
"26",3,3,5,4,5
"27",3,1,5,3,2
"28",5,1,4,4,6
"29",3,5,2,6,1
"30",3,4,3,4,4
"31",6,4,5,5,1
"32",3,5,6,2,6
"33",5,5,4,3,1
"34",1,2,3,3,4
"35",1,2,5,6,6
"36",4,1,2,5,5
"37",6,6,5,1,4
"38",4,3,1,2,2
"39",6,4,1,6,5
"40",1,1,2,4,1
"41",3,2,2,1,6
"42",1,6,6,4,2
"43",4,2,6,5,1
"44",1,3,5,2,1
"45",6,2,4,4,3
"46",3,2,1,5,3
"47",5,6,3,5,6
"48",4,4,5,3,6
