"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",13,15,8,4,4,9,2,15,18,10,17,20,3,19,9,16,8,3,6,5,20,6
"2",9,13,1,2,23,8,20,8,14,14,18,5,12,1,18,2,20,2,21,12,9,9
"3",2,10,5,15,22,20,10,3,9,6,8,6,4,21,10,18,13,13,16,2,4,4
"4",5,20,11,14,17,3,19,20,21,20,9,14,6,18,16,9,17,7,5,9,2,18
"5",18,22,19,16,3,7,13,4,11,18,3,13,17,2,11,4,18,14,8,4,18,5
"6",8,16,21,8,14,4,4,7,3,3,10,3,16,17,21,10,9,20,3,11,13,2
"7",11,11,13,22,20,11,14,14,6,23,1,1,19,22,12,14,1,1,12,14,23,23
"8",7,5,22,20,2,2,22,6,15,13,13,22,20,13,2,17,10,10,13,16,1,10
"9",4,9,16,1,21,17,6,2,22,17,20,15,15,14,4,7,3,16,11,7,15,16
"10",3,4,20,17,11,10,8,21,5,4,19,12,2,3,14,5,6,4,10,21,8,11
"11",14,3,4,5,7,6,11,22,20,7,6,4,18,15,7,6,16,11,17,20,14,21
"12",15,7,7,11,19,1,7,19,10,2,15,17,21,5,17,21,21,18,14,8,21,13
"13",23,12,23,13,6,22,12,18,23,21,12,2,11,10,22,23,7,5,19,3,16,12
"14",20,14,14,9,13,15,21,1,4,1,7,19,1,12,6,1,14,8,23,13,22,14
"15",21,6,2,19,10,16,3,5,8,16,16,10,8,16,20,15,19,9,4,17,17,20
"16",22,8,3,7,16,14,17,17,13,22,11,21,14,4,8,11,5,15,2,22,5,3
"17",10,2,15,18,15,12,1,16,19,15,2,11,7,6,3,22,15,22,22,10,11,1
"18",6,18,6,21,8,18,18,11,17,5,5,16,9,9,19,8,2,19,15,18,19,7
"19",1,23,18,6,1,13,15,13,2,12,14,18,10,20,13,20,22,17,20,23,12,19
"20",17,19,9,10,5,5,9,9,7,19,21,7,5,7,5,13,4,21,18,15,3,17
"21",19,21,17,3,18,19,5,10,16,9,4,8,22,8,15,19,11,6,7,19,6,15
"22",12,17,10,23,12,23,16,23,1,11,22,9,23,11,1,12,23,12,1,1,10,8
"23",16,1,12,12,9,21,23,12,12,8,23,23,13,23,23,3,12,23,9,6,7,22
