"","V1","V2","V3","V4","V5","V6"
"1",3,3,20,6,2,19
"2",11,4,10,3,19,12
"3",21,5,16,14,23,1
"4",20,20,22,2,13,17
"5",16,8,2,16,17,18
"6",4,19,7,17,9,13
"7",6,11,5,1,5,23
"8",13,14,3,10,1,15
"9",5,13,21,11,18,4
"10",22,16,19,23,4,11
"11",9,2,4,22,12,3
"12",17,1,14,12,6,14
"13",1,23,1,5,16,8
"14",18,18,6,7,21,6
"15",7,9,17,8,11,10
"16",8,21,11,15,3,5
"17",10,17,15,13,15,20
"18",23,6,8,9,10,21
"19",14,22,18,20,20,22
"20",2,10,12,21,22,16
"21",15,15,13,4,8,2
"22",19,12,9,19,14,9
"23",12,7,23,18,7,7
