"","V1","V2","V3","V4"
"1",1,1,2,2
"2",2,1,3,3
"3",3,3,2,3
"4",2,2,1,3
"5",1,2,2,1
"6",3,1,1,3
"7",1,3,3,2
"8",1,2,1,3
"9",1,2,3,1
"10",2,3,3,1
"11",1,2,3,3
"12",1,3,2,3
"13",3,2,1,1
"14",3,2,2,2
"15",2,3,3,3
"16",2,3,2,2
"17",3,3,2,1
"18",1,3,1,2
"19",3,3,1,2
"20",3,3,3,2
"21",2,3,1,3
"22",3,1,1,2
"23",3,2,3,3
"24",2,1,2,1
"25",2,1,1,2
"26",2,3,1,1
"27",2,1,2,3
"28",3,2,3,1
"29",1,1,3,2
"30",2,1,3,1
"31",2,2,1,1
"32",3,2,2,3
"33",1,2,1,2
"34",3,1,2,1
"35",1,1,1,1
"36",1,1,2,3
"37",2,2,3,2
"38",3,1,3,2
"39",1,3,2,1
