"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",3,2,2,2,3,3,3,1,3,1,1
"2",3,3,1,2,3,1,1,2,2,3,1
"3",1,3,2,1,1,1,2,3,1,3,2
"4",1,3,3,3,2,3,1,1,2,2,1
"5",1,2,1,1,2,2,1,3,2,1,3
"6",1,2,3,2,1,2,1,1,2,3,3
"7",3,1,1,1,2,2,2,2,3,3,3
"8",3,2,3,2,1,3,2,2,1,2,1
"9",3,1,3,3,3,1,2,1,2,3,2
"10",1,2,3,1,3,1,1,2,3,1,2
"11",2,3,1,2,2,1,3,1,3,3,2
"12",3,3,3,1,2,2,3,1,1,2,3
"13",2,1,1,1,2,1,3,2,1,1,2
"14",2,1,3,2,2,3,3,2,3,1,3
"15",2,3,3,2,3,1,2,3,3,2,3
"16",2,3,1,2,1,2,1,1,1,1,2
"17",2,1,3,1,3,2,3,3,2,3,1
"18",2,1,1,3,1,3,2,1,2,1,3
"19",3,3,2,1,3,3,2,3,2,1,2
"20",3,1,2,1,1,1,1,1,3,2,1
"21",2,2,2,1,3,3,1,1,1,3,3
"22",1,2,3,3,2,1,3,3,1,1,1
"23",1,1,2,2,2,3,1,3,3,3,1
"24",1,1,2,2,3,2,2,1,1,1,1
"25",2,2,1,3,2,2,2,2,1,3,1
"26",3,2,1,3,2,3,1,3,3,2,2
"27",3,2,2,3,1,3,3,3,1,3,2
"28",3,2,1,2,1,1,3,3,2,2,3
"29",1,3,2,3,3,2,3,2,2,3,3
"30",1,2,1,3,3,2,3,1,3,2,2
"31",1,3,1,1,1,3,3,2,2,2,1
"32",2,2,2,1,2,1,2,1,2,2,1
"33",3,3,2,3,2,1,1,2,1,1,3
"34",3,1,3,2,1,2,1,3,2,1,2
"35",2,3,2,3,1,2,2,3,3,1,1
"36",2,1,3,3,3,2,1,2,1,2,2
"37",1,1,1,2,3,3,2,3,1,2,3
"38",1,1,2,3,1,1,3,2,3,2,3
"39",2,3,3,1,1,3,2,2,3,3,2
