"","V1","V2","V3","V4","V5"
"1",2,1,1,3,3
"2",1,2,3,1,3
"3",2,1,3,1,3
"4",1,1,2,3,3
"5",1,2,2,3,1
"6",3,1,1,1,3
"7",1,3,1,2,3
"8",2,3,3,1,1
"9",2,3,2,2,1
"10",2,3,1,3,1
"11",2,2,2,2,2
"12",1,3,2,1,3
"13",3,3,1,2,1
"14",1,2,1,1,2
"15",1,3,2,1,1
"16",3,2,2,1,3
"17",3,3,1,1,2
"18",2,3,1,1,3
"19",1,2,1,2,1
"20",2,3,2,3,3
"21",2,2,2,2,2
"22",3,2,2,2,3
"23",2,3,3,2,3
"24",2,1,1,2,2
"25",1,3,3,3,1
"26",3,2,3,2,1
"27",3,2,1,3,1
"28",3,1,1,2,2
"29",2,2,2,2,2
"30",2,1,2,1,2
"31",3,3,3,1,2
"32",1,2,3,3,3
"33",3,3,2,3,2
"34",1,3,1,3,2
"35",1,3,3,2,2
"36",3,1,2,1,1
"37",1,1,1,1,1
"38",3,1,2,3,1
"39",2,2,1,1,1
"40",1,1,3,2,1
"41",1,1,1,3,2
"42",3,1,3,2,3
"43",1,1,3,1,2
"44",2,2,2,2,2
"45",1,1,2,2,3
"46",3,3,3,3,3
"47",2,2,3,3,2
"48",3,2,3,1,1
"49",3,1,3,3,2
"50",2,1,3,3,1
"51",3,2,1,3,3
