"","V1","V2"
"1",1,2
"2",2,2
"3",1,3
"4",2,3
"5",3,2
"6",3,1
"7",1,1
"8",1,1
"9",3,2
"10",1,1
"11",1,3
"12",1,2
"13",3,3
"14",2,2
"15",2,1
"16",3,3
"17",3,3
"18",3,1
"19",3,2
"20",3,3
"21",1,1
"22",2,3
"23",3,2
"24",1,2
"25",3,2
"26",2,2
"27",1,3
"28",1,1
"29",3,1
"30",2,1
"31",2,2
"32",2,3
"33",2,2
"34",2,1
"35",1,3
"36",2,1
"37",3,1
"38",3,1
"39",1,2
"40",2,3
"41",2,2
"42",1,2
"43",1,3
"44",1,3
"45",2,2
"46",1,1
"47",2,3
"48",3,1
"49",3,3
"50",3,3
"51",2,1
