"","V1","V2","V3"
"1",3,3,2
"2",3,1,2
"3",3,1,3
"4",3,2,1
"5",1,3,3
"6",3,3,2
"7",1,3,1
"8",2,3,2
"9",2,3,3
"10",3,1,2
"11",1,1,3
"12",2,2,2
"13",2,1,3
"14",1,1,2
"15",1,3,2
"16",2,3,1
"17",3,1,1
"18",1,2,3
"19",3,1,3
"20",3,3,3
"21",1,1,1
"22",1,2,2
"23",1,2,1
"24",3,1,1
"25",2,2,2
"26",3,3,1
"27",1,3,1
"28",2,1,1
"29",2,3,1
"30",3,2,3
"31",2,2,2
"32",2,1,3
"33",2,1,2
"34",2,2,2
"35",1,3,2
"36",3,3,1
"37",2,2,3
"38",1,2,1
"39",2,1,1
"40",1,1,3
"41",1,3,3
"42",3,2,3
"43",1,1,1
"44",3,2,2
"45",2,2,2
"46",2,2,1
"47",1,2,3
"48",3,3,3
"49",2,3,3
"50",3,2,1
"51",1,1,2
