"","V1","V2","V3","V4","V5","V6"
"1",3,3,3,4,3,3
"2",4,2,2,4,2,1
"3",4,2,1,2,4,4
"4",2,3,2,2,1,2
"5",4,1,3,3,1,4
"6",3,2,3,2,2,3
"7",4,4,1,1,2,2
"8",3,4,4,3,4,4
"9",4,4,3,2,3,2
"10",2,2,3,3,4,2
"11",4,3,4,3,2,1
"12",1,1,2,1,3,4
"13",1,1,4,4,2,2
"14",2,1,1,3,2,3
"15",4,1,4,2,3,3
"16",3,3,1,4,1,4
"17",2,1,3,1,4,1
"18",2,2,4,4,3,4
"19",1,4,3,4,1,1
"20",2,2,1,1,3,1
"21",2,4,4,1,1,3
"22",1,3,1,3,3,2
"23",4,3,2,1,4,3
"24",1,3,3,1,2,4
"25",3,1,2,4,4,2
"26",1,3,4,2,4,1
"27",3,4,2,3,3,1
"28",1,4,1,4,4,3
"29",3,1,1,2,1,1
"30",2,4,2,2,2,4
"31",1,2,2,3,1,3
"32",3,2,4,1,1,2
