"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",26,2,13,5,25,1,20,1,13,11,9,6,14,7,1,12,1,9,14,14,10,2
"2",6,23,21,8,7,11,5,22,6,7,8,15,5,6,23,10,7,7,20,21,12,21
"3",25,19,26,17,14,24,6,3,10,23,19,2,12,19,21,23,9,17,13,20,4,11
"4",2,6,5,16,11,2,8,2,19,4,15,10,9,24,19,4,19,11,6,19,20,10
"5",23,26,1,4,1,14,7,10,18,13,1,11,15,18,6,15,14,15,26,1,26,17
"6",15,15,14,26,3,5,14,26,3,25,25,14,3,20,7,13,8,14,1,15,25,6
"7",13,25,12,25,26,17,2,15,14,9,5,16,21,22,25,11,26,18,7,10,9,1
"8",7,12,3,3,22,20,17,16,8,21,21,22,18,14,20,6,4,13,23,22,19,3
"9",17,16,15,1,24,25,13,4,26,5,26,23,4,17,15,14,20,2,15,11,13,26
"10",24,18,22,11,13,3,16,20,20,8,20,19,22,4,14,21,22,24,22,18,21,7
"11",16,14,19,14,6,26,26,25,9,3,12,8,20,25,12,1,15,5,25,6,11,8
"12",1,24,11,24,9,22,21,12,12,14,18,7,13,9,2,24,25,3,16,24,22,16
"13",19,10,8,23,5,16,19,6,22,15,16,18,2,8,22,3,6,25,24,9,7,13
"14",8,20,6,6,16,13,18,17,5,6,22,1,7,5,8,9,18,22,8,3,2,12
"15",21,21,9,18,17,7,11,19,24,24,14,3,24,10,18,7,3,4,10,7,18,22
"16",3,4,18,15,20,23,10,23,25,19,2,4,1,11,10,16,16,19,21,13,16,4
"17",9,5,16,9,2,12,24,14,23,12,23,5,23,16,26,17,11,16,5,26,8,24
"18",22,7,4,19,18,10,22,18,4,20,4,13,6,23,16,20,23,12,18,17,5,25
"19",5,11,23,22,23,9,15,7,2,2,10,9,19,15,17,19,5,21,17,4,23,18
"20",12,22,24,13,21,6,25,9,17,18,7,24,8,21,4,2,13,23,9,23,15,19
"21",18,13,2,21,19,19,9,24,21,1,11,20,16,2,5,18,10,10,3,25,6,14
"22",11,1,10,10,12,18,3,21,11,10,17,25,11,26,9,26,2,26,12,8,17,23
"23",4,17,7,12,4,4,12,5,7,16,3,26,26,12,13,22,12,1,11,12,1,5
"24",10,3,25,20,8,8,4,13,16,22,24,21,17,13,3,8,21,8,19,5,3,15
"25",14,8,20,7,15,15,23,11,15,26,6,17,10,1,24,25,17,6,4,2,24,9
"26",20,9,17,2,10,21,1,8,1,17,13,12,25,3,11,5,24,20,2,16,14,20
