"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",10,25,6,14,23,7,17,18,26,27,24,3,19,5,2,5,18,15,11,11,2,18,11,26,20
"2",3,19,17,2,27,19,5,9,19,11,10,17,8,6,24,12,24,9,18,15,26,26,4,22,23
"3",18,6,8,11,11,9,13,7,24,24,2,25,23,22,22,24,19,3,9,22,21,8,9,20,19
"4",17,20,25,23,25,16,19,23,8,16,19,26,25,24,9,20,25,10,3,8,9,23,5,7,12
"5",8,26,19,12,6,21,14,19,5,25,9,11,20,12,20,25,5,25,27,9,22,17,6,2,21
"6",16,9,11,28,19,18,1,28,4,20,5,4,28,9,14,9,12,14,6,23,27,16,24,15,27
"7",14,13,2,24,10,27,21,2,16,21,26,14,1,26,10,10,17,2,21,7,23,20,15,4,22
"8",26,22,23,7,17,5,2,1,25,19,18,5,10,27,25,14,2,16,4,12,16,21,21,10,14
"9",27,8,7,3,22,17,12,10,17,7,12,8,26,25,1,7,16,21,26,17,15,13,2,3,4
"10",21,15,1,1,8,28,16,25,18,15,1,28,15,11,23,4,11,28,14,3,7,27,20,16,13
"11",12,17,26,4,12,3,18,27,23,13,25,16,27,7,8,22,7,7,24,14,24,7,26,17,9
"12",20,14,10,8,3,4,3,16,6,2,28,21,17,17,11,15,21,12,28,28,5,28,14,11,26
"13",7,18,3,19,13,24,8,4,9,5,20,7,22,15,21,27,8,8,7,18,11,24,17,27,3
"14",4,2,4,22,5,6,4,24,20,18,8,6,7,16,13,17,28,13,19,4,12,6,7,13,7
"15",1,1,16,15,18,23,28,17,28,1,15,20,18,19,16,2,1,11,5,1,28,15,12,12,8
"16",28,23,20,27,2,2,15,11,3,23,16,19,2,8,18,1,14,6,16,20,13,14,1,19,5
"17",6,11,24,6,7,11,24,6,7,10,4,2,12,10,5,11,10,4,2,13,6,9,8,8,18
"18",22,28,5,16,20,13,22,22,1,3,11,12,14,3,28,13,26,1,15,16,19,2,22,5,11
"19",13,5,14,25,24,10,25,5,22,17,7,22,13,4,19,16,6,17,25,21,3,25,18,6,1
"20",23,3,22,21,9,22,11,21,21,4,22,13,9,2,6,21,9,20,10,25,18,22,3,21,16
"21",9,12,9,17,28,1,10,13,14,8,17,24,4,1,15,28,15,23,1,6,14,11,28,1,24
"22",5,16,21,13,14,20,6,3,13,26,23,27,16,13,7,3,27,24,12,24,20,3,23,9,6
"23",24,4,27,20,16,8,27,8,10,14,21,9,21,14,26,6,22,27,22,5,17,10,16,24,25
"24",11,27,28,18,15,14,9,20,15,6,3,23,5,28,12,8,4,18,20,19,8,1,13,25,28
"25",25,24,12,10,4,12,26,15,12,12,6,15,6,21,3,26,23,19,8,10,25,19,25,23,2
"26",15,21,18,26,1,26,20,12,27,9,13,1,24,20,17,18,20,22,17,27,1,5,27,14,17
"27",2,10,13,5,21,15,23,26,11,22,27,10,3,23,27,23,13,26,13,26,4,12,10,18,10
"28",19,7,15,9,26,25,7,14,2,28,14,18,11,18,4,19,3,5,23,2,10,4,19,28,15
