"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",13,8,16,18,13,1,4,10,5,11,4,14
"2",7,18,9,12,14,7,1,16,10,3,8,1
"3",2,13,14,2,16,11,9,3,2,8,5,7
"4",1,2,6,14,8,13,10,17,12,6,2,13
"5",15,5,10,1,15,8,18,15,13,12,9,17
"6",10,11,2,17,17,18,14,11,17,9,13,6
"7",6,4,15,4,2,3,6,12,15,10,14,5
"8",5,6,7,16,3,9,17,6,4,13,7,2
"9",12,7,5,3,5,16,3,14,3,2,11,10
"10",11,10,13,8,6,5,16,4,18,1,1,9
"11",9,1,1,9,18,4,8,1,8,18,10,11
"12",17,14,3,5,9,12,5,8,14,15,3,4
"13",18,3,17,10,12,14,12,7,7,4,15,3
"14",4,15,4,6,10,2,15,9,6,5,16,15
"15",14,12,11,13,7,6,11,18,1,16,18,8
"16",16,16,8,15,1,10,7,2,11,7,12,18
"17",8,17,18,7,4,17,13,13,9,17,6,12
"18",3,9,12,11,11,15,2,5,16,14,17,16
