"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,2,6,12,16,9,5,16
"2",5,10,13,5,11,4,2,1
"3",12,16,4,20,10,17,1,14
"4",18,18,17,13,6,2,6,13
"5",11,20,11,1,18,6,9,19
"6",13,4,16,8,17,1,17,8
"7",4,17,18,6,12,14,20,15
"8",7,6,19,19,3,7,12,17
"9",19,19,7,10,15,19,11,2
"10",1,21,9,18,7,11,14,7
"11",3,12,14,9,1,21,7,9
"12",20,8,8,7,4,12,3,18
"13",15,9,15,16,14,20,15,21
"14",9,14,21,15,19,13,4,4
"15",10,3,10,14,5,16,21,3
"16",21,11,12,21,21,10,19,11
"17",17,1,20,2,9,15,10,10
"18",14,15,5,3,2,8,16,5
"19",6,7,3,4,20,18,13,12
"20",16,5,2,17,13,5,8,6
"21",8,13,1,11,8,3,18,20
