"","V1","V2","V3","V4"
"1",21,25,2,25
"2",19,8,11,13
"3",2,15,5,27
"4",29,13,7,5
"5",1,11,20,15
"6",9,23,9,12
"7",28,9,25,26
"8",16,20,4,1
"9",3,26,12,3
"10",24,18,10,30
"11",23,6,22,2
"12",17,3,18,29
"13",11,5,8,21
"14",27,24,19,9
"15",15,14,23,18
"16",13,1,16,6
"17",4,4,27,11
"18",7,27,26,28
"19",30,28,15,20
"20",25,21,28,14
"21",5,19,17,19
"22",20,12,30,22
"23",26,2,3,17
"24",22,16,14,10
"25",8,7,13,24
"26",6,10,1,8
"27",10,17,29,4
"28",12,22,21,23
"29",14,30,6,16
"30",18,29,24,7
