"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",21,7,9,12,14,6,1,17,7,1,13,10,4,4,2,6,17,17,7,6
"2",16,17,15,20,20,4,17,14,16,17,8,20,5,17,7,12,11,6,2,3
"3",22,20,18,22,10,9,11,21,17,10,15,3,21,1,16,15,10,15,11,19
"4",3,8,5,13,19,11,6,18,20,15,6,12,15,7,20,5,3,5,4,17
"5",1,9,19,8,7,1,19,9,21,11,5,8,12,8,10,21,19,20,6,7
"6",10,18,22,3,11,16,14,15,13,2,2,11,20,20,1,1,5,9,9,9
"7",19,4,4,4,4,13,15,11,19,13,18,18,14,2,6,8,13,3,22,8
"8",9,3,12,10,21,5,7,1,15,7,20,13,18,19,4,20,9,14,18,18
"9",6,19,8,6,13,3,16,7,9,3,12,21,2,3,21,17,7,7,15,13
"10",4,10,20,5,3,7,5,20,4,12,16,6,7,18,15,11,8,4,17,4
"11",14,2,14,9,15,15,22,10,6,16,21,1,22,15,22,13,16,8,3,10
"12",5,13,2,16,8,19,9,12,3,9,19,22,19,10,9,14,4,19,5,2
"13",20,1,10,11,1,17,13,16,12,18,9,15,3,22,17,22,6,21,10,15
"14",15,5,3,19,5,8,21,5,5,4,3,5,9,12,8,10,2,10,12,21
"15",8,15,1,17,16,14,12,8,18,8,10,2,8,21,18,3,15,18,21,5
"16",12,22,6,1,22,10,20,22,1,14,14,14,13,14,11,9,22,22,14,16
"17",13,16,13,7,6,18,2,4,22,6,17,17,6,13,14,7,20,11,1,20
"18",7,21,7,18,2,12,4,6,10,20,11,7,16,16,3,18,18,1,8,14
"19",18,14,11,2,18,20,3,2,14,21,7,4,11,5,12,16,1,12,13,1
"20",11,6,16,21,17,21,10,19,8,5,1,16,10,9,13,19,21,2,20,11
"21",2,11,17,15,12,22,18,13,11,22,22,9,1,6,5,2,12,13,16,22
"22",17,12,21,14,9,2,8,3,2,19,4,19,17,11,19,4,14,16,19,12
