"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",8,13,17,23,9,20,20,16,14,23,13,23,21,22,17,10,8,22,4,5,20,9,19
"2",22,21,23,20,23,23,17,18,21,14,18,14,17,8,8,15,19,16,18,13,7,23,18
"3",5,2,21,16,22,7,12,2,9,22,16,8,10,21,4,20,7,5,14,8,8,14,21
"4",3,18,1,9,15,24,8,12,19,1,22,12,9,23,21,21,9,19,21,11,11,11,5
"5",20,1,11,17,13,19,7,19,5,7,21,20,11,2,7,4,10,2,23,14,21,8,13
"6",13,7,5,11,24,1,18,17,16,10,12,3,6,11,22,7,1,17,15,20,23,16,24
"7",16,4,13,3,17,22,19,6,13,20,8,18,3,12,23,14,20,6,20,7,1,5,10
"8",9,9,20,4,20,14,3,13,7,13,19,16,24,4,18,9,5,10,2,21,4,15,2
"9",19,19,12,6,2,9,13,24,18,9,14,15,19,18,14,19,4,3,12,22,2,2,23
"10",17,23,3,24,19,2,11,11,10,24,7,19,13,9,10,24,12,13,10,24,19,6,1
"11",23,24,7,12,14,16,2,3,3,11,11,7,20,17,24,13,15,4,6,9,22,21,17
"12",10,3,19,18,5,8,4,10,17,8,6,6,22,5,20,22,18,18,22,15,14,7,16
"13",12,16,2,21,3,12,23,5,12,16,23,1,18,3,13,12,3,7,19,1,13,20,7
"14",24,10,22,7,6,5,15,14,4,6,3,21,8,15,15,16,6,15,17,4,16,22,4
"15",7,15,18,8,21,18,22,20,6,5,5,2,16,19,6,17,22,8,11,18,18,10,8
"16",18,11,15,22,4,21,9,4,11,3,9,5,4,20,9,3,11,20,9,23,3,17,11
"17",15,8,4,5,1,17,16,23,8,19,17,9,5,7,2,23,16,23,1,12,15,13,15
"18",6,14,6,14,16,11,6,15,15,4,10,24,1,1,11,18,23,9,5,2,6,18,22
"19",4,20,24,10,8,15,10,7,20,15,4,11,2,6,5,8,2,11,7,10,24,1,12
"20",11,22,16,15,11,4,5,21,2,18,20,4,7,14,16,5,21,21,13,6,5,3,9
"21",21,6,10,13,18,6,21,9,23,2,15,10,23,13,3,2,14,14,3,3,10,4,6
"22",14,12,14,2,10,3,1,8,24,17,24,22,14,24,1,11,24,12,16,19,17,19,14
"23",1,17,9,1,12,10,24,1,1,12,1,17,15,10,12,1,13,24,24,16,9,12,20
"24",2,5,8,19,7,13,14,22,22,21,2,13,12,16,19,6,17,1,8,17,12,24,3
