"","V1","V2","V3","V4","V5"
"1",2,17,19,9,21
"2",11,2,16,6,24
"3",6,5,24,13,9
"4",9,12,21,1,12
"5",14,6,6,3,7
"6",19,3,15,21,2
"7",21,19,7,23,14
"8",16,25,12,14,25
"9",8,8,13,25,17
"10",12,16,1,18,10
"11",25,23,14,8,11
"12",5,13,5,22,23
"13",15,14,20,24,8
"14",13,21,25,17,18
"15",23,7,22,19,22
"16",24,11,4,15,5
"17",22,15,10,2,20
"18",20,10,18,11,15
"19",10,20,8,12,1
"20",7,22,3,4,16
"21",17,4,2,10,19
"22",1,1,9,16,13
"23",18,18,23,5,4
"24",3,9,11,7,3
"25",4,24,17,20,6
