"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",5,28,15,26,18,15,20,17,19,4,20,23,10,12,6,6,16,2,16,22,2,8,29,24,25,26,3
"2",15,3,29,1,12,21,21,22,21,3,16,12,6,3,27,22,5,15,15,8,1,19,25,9,12,6,24
"3",20,20,3,16,29,28,24,19,14,14,4,29,1,19,12,27,22,18,5,11,5,25,15,11,9,27,8
"4",29,15,20,29,28,29,1,15,15,29,29,14,29,1,13,24,8,17,17,1,6,13,18,23,23,16,17
"5",6,6,21,20,4,11,18,24,25,26,11,25,3,10,17,21,21,16,21,20,27,23,8,20,22,24,26
"6",28,9,18,21,5,7,14,27,2,15,24,18,12,16,25,7,11,5,9,3,7,29,7,17,6,17,1
"7",8,24,7,4,13,24,15,3,26,25,19,16,24,15,26,28,10,8,25,26,10,20,9,8,17,23,4
"8",10,17,11,23,1,25,10,13,27,13,22,3,7,26,24,15,2,23,4,15,19,21,14,29,27,5,9
"9",23,14,16,15,8,10,29,6,16,9,8,22,25,17,2,17,1,27,22,29,3,22,12,21,1,1,16
"10",14,23,23,6,2,26,28,14,3,11,12,10,13,4,5,10,25,19,28,4,14,11,1,25,13,22,11
"11",2,5,27,25,27,8,25,4,6,19,18,6,16,6,11,20,19,25,7,17,13,17,5,7,20,11,5
"12",25,29,25,18,22,18,8,18,12,20,5,1,9,11,14,4,7,10,27,23,18,28,11,6,14,8,29
"13",21,2,9,11,24,19,13,21,24,18,26,26,18,8,20,8,27,29,26,18,16,12,21,26,3,9,6
"14",24,18,2,7,9,9,4,1,10,17,14,24,5,7,23,12,12,22,3,24,12,10,24,22,21,19,28
"15",12,7,6,28,11,13,5,16,9,12,15,28,23,22,28,11,23,12,29,9,4,14,3,2,28,10,21
"16",4,4,22,14,20,23,3,8,11,10,23,20,4,18,7,16,3,6,23,10,23,5,17,3,4,20,10
"17",17,8,19,22,17,22,11,2,29,2,1,11,19,20,4,9,29,14,1,21,11,24,27,1,18,18,15
"18",27,13,12,10,25,4,17,9,23,5,7,4,8,24,16,26,17,4,24,12,8,4,4,28,19,15,23
"19",13,25,13,27,7,6,7,28,13,6,3,8,20,9,21,25,13,28,20,13,26,15,22,5,10,21,2
"20",3,27,26,9,21,17,12,10,5,16,10,21,27,25,22,23,18,21,12,7,20,27,28,27,7,14,22
"21",19,16,24,8,10,3,26,12,28,22,6,27,22,13,18,3,15,9,8,6,21,6,19,4,24,7,7
"22",22,1,14,12,3,14,27,20,8,21,25,2,26,28,8,29,9,13,2,19,17,7,23,13,15,25,20
"23",9,12,8,3,15,2,2,11,17,7,27,5,21,2,10,2,20,11,11,16,22,26,13,19,8,28,25
"24",7,11,4,2,26,1,16,26,1,24,2,15,11,29,1,5,4,20,19,14,15,18,20,15,29,12,14
"25",26,19,28,5,14,20,6,29,18,8,21,19,15,27,9,19,24,24,13,27,28,3,6,10,26,13,13
"26",18,26,5,24,19,12,19,5,22,27,17,13,14,21,15,1,6,26,14,2,25,2,2,14,5,29,19
"27",11,10,1,19,23,27,23,23,4,1,9,17,28,5,19,14,14,7,10,25,24,1,10,18,16,3,18
"28",16,21,17,17,16,5,22,7,7,23,28,9,2,23,29,13,26,1,18,28,29,16,26,16,11,2,12
"29",1,22,10,13,6,16,9,25,20,28,13,7,17,14,3,18,28,3,6,5,9,9,16,12,2,4,27
