"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",18,17,27,25,7,19,23,21,27,16,22,3,4,8,24,3,28,23,22,17,23,22,7
"2",26,20,5,3,27,9,8,10,28,13,25,11,16,17,29,27,21,22,5,11,20,6,10
"3",19,30,16,11,25,3,26,6,22,9,20,6,24,7,5,10,6,24,15,21,15,29,24
"4",22,29,14,23,6,23,27,1,11,10,18,13,6,29,6,25,23,7,11,5,13,13,9
"5",14,27,19,16,11,5,10,26,18,30,4,5,22,4,21,23,29,3,18,4,22,9,17
"6",5,11,29,20,15,1,25,13,20,6,9,24,5,14,22,29,7,19,14,10,10,4,30
"7",2,9,1,13,18,29,21,3,16,2,15,19,21,1,17,9,24,29,23,2,28,14,16
"8",10,4,21,10,10,6,18,11,14,29,24,26,9,25,9,12,27,27,12,27,18,5,5
"9",16,6,12,27,5,16,3,5,25,7,5,23,30,12,18,1,18,11,4,22,14,3,12
"10",28,2,7,14,1,2,19,30,17,12,14,14,12,19,28,13,22,8,21,29,7,23,28
"11",29,24,28,22,22,26,13,20,15,5,7,8,13,23,12,8,3,18,6,28,29,10,18
"12",21,8,25,4,12,10,6,25,8,3,27,10,25,28,19,6,9,16,16,3,11,19,6
"13",12,19,20,7,8,25,16,15,9,4,29,27,19,10,26,26,17,4,8,23,26,28,26
"14",30,21,30,18,9,11,2,8,4,19,23,21,20,2,1,18,19,14,24,20,2,11,19
"15",7,10,26,1,23,28,14,12,21,18,6,7,15,13,3,15,25,6,7,12,4,27,3
"16",25,1,22,29,17,30,29,16,30,26,28,15,18,16,14,11,10,5,30,9,16,7,23
"17",4,28,24,9,29,15,5,2,19,21,10,20,8,30,27,7,16,10,26,16,21,18,25
"18",20,5,15,15,20,17,1,28,23,23,19,28,1,15,2,21,14,21,2,1,30,21,20
"19",24,12,17,28,28,12,12,18,6,8,2,30,14,22,16,24,30,25,29,13,8,30,14
"20",23,23,13,6,13,27,28,23,24,24,8,22,26,21,25,22,12,28,17,25,3,15,8
"21",15,3,8,21,21,22,7,4,13,27,17,9,10,6,23,28,5,17,25,26,12,25,4
"22",27,14,3,5,14,4,24,9,5,25,1,17,3,11,13,4,11,2,10,14,25,20,13
"23",6,26,4,26,16,21,9,22,12,28,26,18,28,18,10,5,26,20,9,15,9,24,29
"24",13,25,10,12,26,20,20,24,7,17,21,29,11,3,20,2,2,9,13,8,5,2,11
"25",11,22,6,19,3,7,15,14,29,15,12,25,27,24,8,17,4,13,27,7,27,26,2
"26",3,15,2,17,19,13,11,19,26,1,30,2,2,26,11,19,13,1,19,24,1,12,15
"27",8,18,9,2,4,24,4,27,10,11,3,12,7,9,7,16,8,26,28,18,17,8,22
"28",1,16,23,30,30,8,30,29,2,14,16,16,23,5,15,20,15,12,3,30,19,16,1
"29",9,13,18,24,2,14,17,7,1,22,13,1,17,20,30,14,1,30,1,6,6,17,21
"30",17,7,11,8,24,18,22,17,3,20,11,4,29,27,4,30,20,15,20,19,24,1,27
