"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",10,1,18,2,14,11,22,22,19,17,13,16
"2",12,9,2,7,6,21,11,14,23,1,11,3
"3",22,12,11,22,11,1,7,19,21,19,16,8
"4",8,5,6,10,22,4,14,21,14,7,2,7
"5",17,15,8,14,1,15,1,23,12,6,22,15
"6",19,23,3,18,19,13,16,16,18,12,10,23
"7",3,6,21,17,20,18,9,10,20,8,21,12
"8",6,22,23,8,12,12,5,20,2,4,9,10
"9",2,14,9,15,17,16,20,17,4,21,14,2
"10",7,18,5,4,10,19,6,7,15,20,17,20
"11",21,3,12,9,18,8,8,5,6,2,15,19
"12",16,11,16,3,16,14,2,2,17,11,4,1
"13",14,19,19,19,9,6,19,8,16,3,18,4
"14",18,20,14,6,23,23,13,13,8,15,20,6
"15",5,2,4,21,4,10,4,9,7,13,12,5
"16",20,4,22,11,2,17,17,6,13,22,8,9
"17",9,13,10,23,15,22,23,3,11,5,7,17
"18",15,7,17,20,8,20,10,18,3,14,3,21
"19",23,17,7,1,7,9,21,11,5,9,5,11
"20",11,16,20,16,21,3,3,12,9,23,6,18
"21",13,8,1,12,13,5,15,1,1,18,23,13
"22",4,10,15,5,3,2,18,15,10,10,19,22
"23",1,21,13,13,5,7,12,4,22,16,1,14
