"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",13,23,18,11,4,25,10,6,3
"2",7,26,21,5,15,14,16,9,26
"3",11,1,12,24,13,23,17,1,9
"4",8,12,24,20,2,21,14,22,21
"5",6,16,2,14,26,18,9,3,11
"6",22,25,9,26,9,19,8,14,19
"7",15,11,8,3,19,10,26,4,20
"8",26,14,6,13,12,26,21,19,25
"9",20,8,19,23,3,6,25,13,12
"10",9,22,5,22,20,12,23,26,14
"11",1,21,14,18,7,5,20,5,17
"12",21,3,20,2,17,20,11,25,13
"13",14,5,7,17,6,13,3,23,5
"14",4,2,4,10,5,8,12,12,23
"15",10,17,11,1,11,1,5,10,8
"16",24,24,13,9,24,7,13,21,7
"17",23,10,3,19,16,3,15,8,2
"18",18,19,1,4,1,15,18,17,10
"19",16,20,17,15,14,4,1,24,22
"20",3,15,22,25,18,9,7,18,4
"21",17,18,26,16,22,22,22,11,6
"22",19,6,15,21,23,16,6,7,24
"23",12,4,23,12,25,2,19,16,18
"24",5,7,16,7,10,17,24,20,1
"25",2,9,10,6,21,24,2,15,16
"26",25,13,25,8,8,11,4,2,15
