"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",10,19,21,5,11,19,22,9
"2",11,8,17,6,5,2,7,4
"3",5,15,10,16,2,4,23,12
"4",17,23,9,7,16,22,5,13
"5",20,22,18,15,13,3,18,15
"6",9,1,7,13,15,5,6,21
"7",1,20,13,9,21,7,11,6
"8",14,13,1,4,20,1,12,16
"9",8,14,19,17,18,16,4,1
"10",13,2,15,14,1,23,13,7
"11",18,6,4,8,4,15,20,18
"12",19,10,5,18,12,6,1,8
"13",2,7,22,20,10,8,14,17
"14",15,18,20,11,3,11,3,20
"15",6,11,16,1,17,12,19,23
"16",22,16,8,2,7,9,15,2
"17",4,9,2,12,14,21,17,3
"18",21,5,23,10,22,14,9,11
"19",7,21,3,23,6,13,8,10
"20",16,3,12,22,19,10,21,5
"21",23,12,14,21,8,20,10,22
"22",3,4,11,3,9,17,2,14
"23",12,17,6,19,23,18,16,19
