"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",4,23,24,30,3,21,2,14,1,19,20,29,12,14,19,25,7,17,11,21,30,26,17,18,22,26
"2",9,14,25,7,15,27,11,5,11,23,18,7,8,12,21,10,17,20,3,4,5,24,28,28,3,6
"3",13,29,22,14,8,3,10,7,21,7,4,21,21,7,25,28,26,7,5,26,11,17,14,26,10,20
"4",14,2,12,23,9,5,21,2,20,11,19,26,26,24,23,8,11,19,15,2,24,23,9,25,30,9
"5",12,17,23,22,22,23,25,6,13,8,26,8,13,9,18,29,14,26,26,27,12,2,10,5,25,3
"6",3,18,21,25,5,17,27,29,17,6,5,3,17,23,28,3,10,15,20,6,7,14,13,9,4,25
"7",16,20,5,19,29,1,8,4,8,1,13,10,3,13,5,19,13,1,23,3,19,28,12,12,13,23
"8",22,25,13,21,23,2,3,26,5,27,9,12,18,15,17,1,16,30,28,14,1,15,20,30,28,18
"9",8,12,20,11,18,24,13,18,28,28,16,11,22,27,9,30,19,2,12,1,21,16,23,1,29,30
"10",5,22,4,6,24,13,26,19,16,12,3,9,10,20,3,6,22,10,6,22,29,22,16,23,24,4
"11",27,28,28,13,21,15,28,10,19,21,14,24,20,6,11,5,6,18,29,11,22,27,24,2,11,7
"12",2,9,17,17,7,8,6,8,25,24,24,20,4,28,1,4,23,27,24,25,13,18,18,13,8,13
"13",19,16,30,5,2,7,12,24,7,15,10,16,27,25,10,20,30,23,14,15,6,29,5,7,21,1
"14",25,6,29,1,20,6,7,22,26,4,15,4,11,21,20,14,9,21,17,24,23,5,27,22,17,24
"15",24,26,9,10,6,26,23,15,14,10,17,19,9,26,12,21,27,28,27,9,27,11,7,24,7,28
"16",26,3,19,12,12,20,5,13,2,3,25,2,19,3,7,2,25,13,2,10,20,12,6,16,23,15
"17",20,15,26,24,28,9,29,16,27,18,30,30,7,17,14,12,29,4,8,5,2,6,11,19,19,19
"18",18,13,14,8,13,10,16,3,6,30,1,25,14,18,15,7,1,12,9,28,18,1,4,4,5,29
"19",10,11,15,9,11,16,24,28,3,5,28,22,23,16,8,22,3,5,25,23,4,21,29,29,16,12
"20",29,21,8,27,1,18,17,1,23,29,2,6,16,4,4,17,21,16,16,18,8,3,30,20,20,11
"21",21,7,11,18,4,4,19,27,18,16,22,5,5,5,16,27,5,9,4,12,28,13,21,6,6,5
"22",23,30,18,2,10,30,20,30,24,26,23,14,2,10,26,13,12,8,21,19,17,25,2,14,26,17
"23",15,27,7,20,16,19,9,23,10,20,27,13,28,22,27,9,28,3,18,30,25,4,26,10,12,8
"24",30,19,3,16,30,14,14,11,15,25,29,1,25,30,30,26,2,24,7,16,14,20,8,21,14,21
"25",1,4,27,28,27,12,18,21,12,22,11,15,29,8,6,24,18,14,22,17,26,8,3,27,1,16
"26",6,5,1,15,17,28,1,9,29,14,8,17,15,19,24,18,4,6,30,13,3,10,1,17,18,2
"27",11,24,10,3,25,22,4,25,22,9,21,27,24,11,2,15,8,25,10,8,9,7,15,8,2,14
"28",17,8,2,26,14,29,30,20,30,13,12,18,30,2,13,11,15,29,1,29,16,30,19,15,15,27
"29",7,10,6,4,19,11,22,12,4,17,7,23,6,1,29,23,24,22,19,7,15,9,25,11,27,22
"30",28,1,16,29,26,25,15,17,9,2,6,28,1,29,22,16,20,11,13,20,10,19,22,3,9,10
