"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",17,10,11,21,11,2,14,5,17,11,24,7,16,27,20,10,4,4,5,26,12,8,1,24,7
"2",3,13,22,4,20,9,15,2,7,24,10,12,22,22,3,5,2,20,8,20,21,21,11,9,12
"3",2,23,3,15,19,8,19,22,5,23,19,25,13,7,5,24,13,6,6,25,10,9,20,18,17
"4",20,18,19,17,9,24,17,25,26,21,18,13,1,21,26,25,17,11,12,27,22,22,16,4,9
"5",25,5,20,12,22,18,11,10,11,3,15,16,20,2,8,26,26,8,4,5,13,23,7,21,8
"6",24,17,12,5,10,3,22,20,2,12,2,21,5,9,7,19,6,12,23,11,25,16,5,11,6
"7",18,6,6,9,14,4,8,4,25,10,20,26,12,23,2,17,18,24,17,4,6,17,21,2,13
"8",1,22,18,16,8,1,1,14,27,8,8,18,17,1,27,4,14,27,13,9,19,10,12,14,1
"9",22,19,23,23,4,10,10,27,9,5,27,23,24,13,13,12,12,21,15,21,3,19,4,12,25
"10",21,26,7,3,25,20,26,18,22,9,12,17,2,24,14,6,19,19,9,15,2,6,8,22,14
"11",15,12,21,8,1,12,9,26,21,26,16,15,7,12,10,7,1,2,20,1,15,1,27,20,11
"12",19,16,4,1,26,15,2,8,14,7,14,14,23,4,22,18,5,9,16,24,23,4,24,6,21
"13",7,25,8,7,2,19,7,11,23,17,7,4,15,15,12,21,7,10,2,12,9,26,2,3,19
"14",13,9,10,11,7,25,23,6,16,27,6,27,27,6,18,11,16,14,19,22,1,25,22,15,4
"15",9,7,16,10,16,26,16,17,1,16,25,8,6,5,25,13,10,26,7,2,5,5,6,7,16
"16",27,4,2,22,3,16,20,9,10,20,13,19,8,17,23,3,9,22,3,10,24,15,19,17,22
"17",23,21,24,6,15,6,13,7,4,22,4,5,18,19,24,15,21,7,18,8,4,11,18,26,20
"18",16,8,1,14,6,14,5,19,3,18,11,2,25,25,11,27,24,23,25,18,17,3,9,13,10
"19",14,11,17,13,18,5,24,23,18,2,3,1,9,14,9,1,27,15,1,23,14,12,23,5,27
"20",26,24,26,20,24,21,3,12,15,19,21,3,10,8,4,9,8,16,26,17,8,13,17,10,2
"21",6,14,14,2,12,23,6,15,6,1,22,22,11,20,21,2,25,3,27,16,18,27,14,16,23
"22",10,1,27,27,13,27,12,13,24,15,1,24,14,10,1,14,20,13,11,19,27,2,10,27,18
"23",5,20,15,19,5,22,27,3,12,4,26,9,19,16,6,22,15,18,21,7,20,7,25,23,15
"24",8,3,25,18,23,17,25,21,19,13,9,20,21,26,19,23,3,5,22,6,11,14,13,8,24
"25",11,27,5,26,17,11,21,16,13,14,23,6,26,11,15,8,23,1,10,3,26,18,15,1,3
"26",4,2,9,25,21,13,4,24,8,6,5,10,4,18,17,16,11,17,14,13,7,24,26,25,5
"27",12,15,13,24,27,7,18,1,20,25,17,11,3,3,16,20,22,25,24,14,16,20,3,19,26
