"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",10,3,6,8,12,18,5,19,10,14,17,7,19,1,10,14,15,18
"2",7,5,8,10,1,3,18,10,16,9,6,1,8,11,7,2,19,19
"3",13,12,7,2,10,12,19,1,14,10,4,19,12,3,3,15,4,14
"4",5,7,14,3,3,7,2,12,6,16,2,10,4,9,16,16,3,12
"5",19,11,11,6,19,4,17,13,13,18,19,14,2,10,12,11,16,6
"6",17,13,3,18,14,6,4,17,17,3,3,9,9,6,13,6,8,13
"7",2,9,12,4,18,13,6,11,15,2,14,2,11,15,1,9,1,8
"8",1,15,5,12,13,5,8,7,7,6,13,18,3,18,9,18,12,17
"9",15,8,17,7,8,1,9,2,9,5,15,12,18,13,19,3,7,15
"10",4,14,19,9,9,16,10,14,19,4,5,15,14,8,14,13,18,2
"11",18,2,18,16,11,10,1,4,11,11,8,6,10,16,5,19,17,5
"12",6,4,16,15,16,2,14,18,4,12,10,17,16,7,4,7,6,9
"13",12,10,15,19,2,19,13,8,1,1,18,8,1,5,6,12,10,10
"14",9,17,13,17,17,14,15,6,8,17,1,4,15,14,17,10,11,16
"15",11,1,2,13,6,17,12,9,18,15,12,16,6,17,18,8,5,7
"16",8,6,1,1,15,11,11,3,3,7,9,5,5,4,15,5,13,3
"17",14,18,10,5,7,15,7,16,2,13,7,13,7,19,2,1,14,11
"18",3,19,9,14,4,8,3,5,12,19,16,11,13,2,8,4,9,4
"19",16,16,4,11,5,9,16,15,5,8,11,3,17,12,11,17,2,1
