"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",5,2,12,3,17,14,19,5,20,6,12,15,4
"2",14,21,7,10,14,13,8,21,19,19,4,22,9
"3",22,19,11,15,1,19,18,6,11,9,5,18,15
"4",8,12,22,18,8,16,1,11,16,1,17,21,10
"5",1,14,1,12,10,22,5,1,14,12,10,1,8
"6",15,6,4,9,7,11,20,16,8,2,2,4,7
"7",17,13,16,2,9,1,22,20,15,13,11,14,22
"8",18,9,19,17,15,21,10,19,3,7,8,11,1
"9",13,22,18,11,13,12,15,2,5,3,22,7,19
"10",4,17,6,19,5,5,13,14,22,5,9,8,17
"11",9,10,9,1,6,15,2,7,4,22,7,9,18
"12",20,15,5,5,19,6,4,10,2,4,13,16,12
"13",6,16,13,22,18,17,21,18,7,20,14,6,11
"14",12,5,8,20,4,2,11,3,6,15,15,20,6
"15",7,8,3,8,21,20,14,15,10,14,19,19,21
"16",21,11,2,16,12,8,17,9,17,21,21,10,2
"17",2,3,20,13,11,7,16,12,1,18,3,17,14
"18",3,20,14,4,2,9,7,17,9,10,20,13,3
"19",19,4,17,6,3,18,9,13,21,17,16,5,13
"20",10,18,21,7,22,3,12,8,13,16,6,3,5
"21",16,7,15,21,20,10,6,4,18,11,1,12,20
"22",11,1,10,14,16,4,3,22,12,8,18,2,16
