"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",3,28,5,2,18,17,18,11,2,3,8,9,9,12,13
"2",27,18,15,11,23,25,12,21,25,6,3,24,10,5,18
"3",2,10,27,28,28,19,27,20,15,10,5,16,17,18,10
"4",24,8,11,21,9,10,23,16,28,2,17,7,24,9,7
"5",10,23,21,17,26,14,25,15,26,16,20,5,6,27,25
"6",14,20,1,15,5,28,26,14,8,17,24,18,27,1,12
"7",21,15,20,19,20,13,8,27,1,19,7,21,26,11,1
"8",23,24,28,14,3,11,1,12,5,1,14,17,16,20,23
"9",26,17,4,27,15,22,16,7,13,22,9,3,23,25,21
"10",12,4,18,20,2,16,7,4,9,27,1,6,14,6,16
"11",4,13,12,22,8,26,10,17,4,24,18,22,7,22,27
"12",19,26,23,25,6,4,19,24,21,23,12,12,8,4,14
"13",8,22,7,23,24,23,2,2,19,13,15,11,12,7,4
"14",17,25,13,8,25,8,24,5,10,26,13,25,20,21,6
"15",25,19,26,5,16,20,4,18,14,25,26,8,2,13,9
"16",6,12,24,18,14,7,14,6,11,4,21,27,3,2,8
"17",11,27,9,26,13,15,6,25,22,8,28,26,21,15,20
"18",22,9,6,1,1,18,15,22,16,15,19,28,13,28,5
"19",7,21,19,6,10,1,13,23,12,12,2,10,28,26,17
"20",13,2,14,13,11,24,21,26,6,7,11,2,4,19,3
"21",1,16,16,10,4,6,11,8,24,18,25,1,18,17,2
"22",5,1,3,12,22,9,17,28,17,28,23,14,15,10,22
"23",15,6,2,16,17,3,3,13,27,20,6,20,5,24,11
"24",16,11,10,4,27,5,5,19,7,11,16,4,19,3,26
"25",28,5,17,24,21,2,22,9,3,14,27,19,11,16,19
"26",9,7,25,3,12,21,20,10,23,21,10,23,22,8,24
"27",20,14,8,7,7,12,28,1,18,9,4,15,1,14,28
"28",18,3,22,9,19,27,9,3,20,5,22,13,25,23,15
