"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",17,17,23,18,9,12,11,25,26,5,5,12,6,4,26,6,16,7,8,23,22,2,13,25,9,26,19,3
"2",13,24,8,10,2,8,26,29,28,11,22,28,1,2,2,28,15,8,16,4,18,23,16,18,20,15,7,15
"3",11,22,24,13,29,20,9,15,23,6,18,10,8,23,5,23,3,4,28,18,1,14,9,22,10,13,24,29
"4",10,13,14,2,7,5,4,22,13,14,4,20,16,28,10,21,22,15,11,29,26,29,1,20,6,19,5,25
"5",29,29,28,21,17,17,29,20,19,29,8,26,13,19,21,15,6,12,17,14,14,6,7,13,29,28,2,27
"6",8,20,13,19,1,21,24,1,12,2,26,15,15,21,12,2,2,23,14,21,28,18,8,19,28,4,21,7
"7",27,9,2,14,10,9,6,28,21,19,16,23,22,12,24,7,4,18,24,15,15,26,25,21,7,3,28,23
"8",20,12,10,12,11,19,17,6,5,26,12,18,9,1,7,24,1,29,13,11,23,16,21,3,2,29,23,22
"9",4,28,3,4,14,3,27,11,15,9,6,1,18,10,15,12,8,22,7,2,6,7,4,15,4,17,25,14
"10",1,14,29,16,5,11,21,23,18,4,20,22,21,20,23,25,26,26,2,13,3,11,23,2,18,14,20,21
"11",24,27,16,27,6,29,1,16,9,12,10,24,4,16,4,4,19,24,19,10,5,10,14,6,8,8,8,10
"12",14,3,9,25,16,7,19,5,25,24,3,17,5,18,11,27,21,20,22,27,7,9,15,26,26,9,27,11
"13",26,2,26,20,3,23,23,12,4,15,7,13,29,14,17,26,29,3,29,6,24,20,5,16,11,16,18,13
"14",12,8,11,29,27,24,5,24,11,7,11,16,17,7,18,17,10,11,12,3,2,28,26,11,27,24,22,6
"15",25,1,15,1,25,15,18,21,14,28,21,4,2,29,19,1,7,14,9,1,27,12,20,28,17,12,17,12
"16",21,10,20,6,15,22,22,27,29,16,15,2,19,24,6,10,17,27,27,22,12,27,11,4,22,27,14,1
"17",28,18,21,3,18,10,15,2,20,1,25,11,14,8,14,19,27,21,21,9,9,21,27,29,12,25,1,8
"18",9,6,18,8,21,18,20,18,3,3,1,25,27,3,13,5,11,19,25,24,19,5,28,14,19,11,6,19
"19",3,11,27,17,28,16,28,7,6,21,14,27,12,11,9,8,24,10,6,17,11,25,17,23,1,5,10,4
"20",15,4,25,28,12,1,8,14,8,20,27,6,23,5,3,9,12,25,4,12,16,15,6,27,23,18,12,28
"21",18,26,5,26,23,4,25,10,7,8,19,9,11,17,27,3,20,13,26,28,20,24,22,7,13,20,16,24
"22",5,19,19,23,20,6,12,17,17,23,24,21,24,26,8,11,18,2,23,7,25,4,19,8,5,23,26,9
"23",19,5,12,24,4,26,16,9,27,10,28,8,25,25,20,16,9,9,10,25,10,8,18,12,3,6,3,20
"24",16,25,4,15,19,13,3,13,24,27,2,7,28,15,1,20,5,5,3,20,17,19,24,1,16,10,9,5
"25",6,16,22,7,8,2,7,4,1,17,9,5,7,27,25,18,13,6,18,5,13,17,29,9,25,2,13,16
"26",2,7,1,9,22,28,10,3,22,13,17,14,3,13,16,14,28,16,1,16,29,3,12,5,24,22,11,26
"27",7,21,6,22,26,27,13,26,16,22,13,3,20,9,29,22,23,28,20,8,21,13,10,24,15,1,4,17
"28",22,23,17,5,13,25,14,19,10,25,23,19,10,6,22,13,25,1,5,26,8,22,3,10,21,7,29,18
"29",23,15,7,11,24,14,2,8,2,18,29,29,26,22,28,29,14,17,15,19,4,1,2,17,14,21,15,2
