"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",22,4,9,11,5,11,10,3,7,1,22,17,13,15,1,22,17,2,10,8,10
"2",19,3,13,3,19,16,19,16,11,15,12,4,3,21,17,19,14,15,20,7,14
"3",11,10,4,1,11,2,6,7,2,11,4,2,9,22,2,5,10,22,9,14,15
"4",6,1,17,12,22,12,8,22,13,6,2,20,7,9,9,1,19,17,3,9,11
"5",2,7,20,19,15,10,12,18,9,19,15,9,16,19,3,3,2,5,19,12,7
"6",1,8,11,13,4,8,11,2,12,21,16,3,6,2,22,11,15,18,6,16,1
"7",4,21,15,18,3,14,18,14,14,3,6,5,8,16,4,17,12,9,8,19,21
"8",14,20,12,4,2,9,2,17,16,14,17,14,14,3,5,4,13,16,18,3,20
"9",5,9,7,6,20,4,21,9,18,17,20,18,18,10,8,18,7,14,11,20,18
"10",10,2,19,21,9,20,4,12,1,10,18,10,19,6,15,15,20,12,16,21,17
"11",21,15,16,14,10,15,15,6,17,5,14,21,21,20,21,2,6,20,13,15,13
"12",15,12,21,5,8,3,20,4,15,7,1,7,20,7,10,12,18,8,22,11,3
"13",18,13,1,16,13,22,13,13,22,22,11,1,22,11,6,9,22,11,1,5,12
"14",13,14,3,22,6,13,22,19,5,18,3,16,11,1,13,21,8,21,14,10,9
"15",8,22,8,10,21,21,1,1,10,4,9,8,15,12,11,16,3,19,15,6,4
"16",16,19,14,8,18,7,3,15,6,20,5,19,17,17,18,14,16,6,7,18,8
"17",12,16,22,20,12,1,7,10,20,12,21,12,1,18,14,20,9,13,4,1,5
"18",20,17,10,7,14,17,17,20,3,8,19,11,4,5,7,7,5,10,5,17,2
"19",17,6,6,15,16,5,5,21,19,2,10,6,10,4,19,13,4,3,12,13,19
"20",9,5,2,9,1,19,9,11,21,13,8,22,2,14,12,8,11,4,21,22,6
"21",7,11,18,2,7,18,14,8,8,16,7,13,12,8,20,10,1,1,2,2,22
"22",3,18,5,17,17,6,16,5,4,9,13,15,5,13,16,6,21,7,17,4,16
