"","V1","V2","V3","V4"
"1",19,27,15,23
"2",4,2,8,21
"3",10,16,12,9
"4",1,17,21,25
"5",18,10,10,15
"6",26,9,26,2
"7",11,29,25,20
"8",7,24,11,28
"9",24,3,17,27
"10",9,5,27,14
"11",16,12,24,29
"12",6,11,18,17
"13",5,22,28,8
"14",23,23,23,16
"15",13,20,14,1
"16",25,28,9,7
"17",14,1,22,10
"18",28,6,13,19
"19",29,18,19,12
"20",21,15,29,22
"21",22,13,7,11
"22",20,4,2,6
"23",2,7,16,5
"24",12,8,4,24
"25",15,19,1,18
"26",8,14,6,3
"27",27,21,5,26
"28",3,26,3,13
"29",17,25,20,4
