"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",6,7,2,11,5,1,11,7,18,8,1,18,11,10,14,19,1
"2",14,5,16,2,7,8,8,8,5,2,12,3,17,2,18,11,6
"3",15,3,6,14,11,12,3,20,7,7,6,20,3,16,20,8,11
"4",12,9,7,16,9,6,20,2,1,19,9,16,19,8,2,7,12
"5",9,8,14,6,14,19,4,5,4,10,2,9,1,7,3,18,14
"6",3,17,3,3,6,5,6,16,12,4,14,13,7,6,4,9,16
"7",10,4,8,5,4,18,9,18,14,20,20,8,18,15,8,17,10
"8",1,13,5,4,18,10,15,9,8,17,3,7,14,19,19,10,17
"9",16,6,4,19,17,15,14,3,16,3,13,5,10,12,6,13,18
"10",5,18,18,15,16,11,5,6,10,6,17,17,20,18,9,16,9
"11",17,20,10,12,12,2,17,15,2,9,19,2,8,11,15,20,13
"12",2,2,15,17,19,7,19,19,11,14,11,10,5,3,10,14,4
"13",13,10,12,9,15,3,1,14,20,13,10,1,12,20,1,6,3
"14",4,15,11,18,2,16,12,13,3,5,4,4,9,14,7,3,5
"15",7,16,9,13,10,13,7,1,17,18,15,6,2,1,17,5,8
"16",19,14,13,20,1,9,2,12,13,16,5,11,15,5,13,15,19
"17",8,11,19,10,13,20,18,17,19,1,8,14,16,9,16,4,15
"18",20,12,1,7,20,17,10,11,6,11,18,15,13,4,11,1,2
"19",18,19,17,1,8,14,16,10,15,15,7,19,4,13,5,12,7
"20",11,1,20,8,3,4,13,4,9,12,16,12,6,17,12,2,20
