"","V1","V2","V3","V4","V5","V6"
"1",19,5,10,21,21,6
"2",2,13,14,17,24,8
"3",16,11,4,14,15,1
"4",15,23,8,4,23,17
"5",24,22,11,11,13,4
"6",6,24,24,15,10,12
"7",13,21,2,20,7,9
"8",5,7,5,3,9,5
"9",3,4,19,5,14,19
"10",14,1,15,24,12,16
"11",18,20,18,13,5,21
"12",10,12,20,22,3,3
"13",4,18,6,23,17,20
"14",9,2,1,12,20,13
"15",7,8,12,18,8,24
"16",12,10,23,10,22,22
"17",11,17,13,2,1,15
"18",20,14,3,6,11,23
"19",21,9,16,1,16,10
"20",17,3,22,8,6,7
"21",8,19,17,7,19,2
"22",23,6,7,16,2,18
"23",1,15,9,9,4,11
"24",22,16,21,19,18,14
