"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",10,9,3,7,14,17,18,10,5,18,15,11,3,16,15,12
"2",5,3,2,6,9,16,1,2,8,12,10,8,16,2,6,6
"3",3,12,17,17,10,9,4,14,4,9,16,5,2,1,9,13
"4",8,6,14,14,3,13,15,3,15,13,4,13,4,7,5,15
"5",12,16,9,15,2,12,2,7,2,11,2,7,9,13,18,4
"6",4,10,5,3,5,3,5,13,7,7,3,16,8,15,4,14
"7",6,14,12,12,17,11,6,12,17,17,14,14,13,12,3,3
"8",2,5,7,10,11,2,12,15,13,15,5,2,6,8,16,2
"9",16,7,6,13,16,14,3,18,12,5,7,12,11,4,14,16
"10",1,15,18,9,12,18,13,9,9,1,1,15,18,10,12,10
"11",15,2,15,8,1,6,9,17,3,14,13,18,15,9,11,8
"12",13,17,11,4,15,5,11,5,6,16,6,4,14,5,7,17
"13",11,18,4,11,8,4,10,4,16,6,17,17,5,3,13,7
"14",7,4,13,5,6,10,8,8,14,3,18,3,12,14,17,18
"15",17,8,16,1,13,7,7,1,11,8,8,10,1,18,10,1
"16",9,1,8,16,18,1,16,6,1,2,11,9,10,11,1,9
"17",14,13,10,2,4,15,17,16,10,4,12,6,7,6,2,5
"18",18,11,1,18,7,8,14,11,18,10,9,1,17,17,8,11
