"","V1","V2","V3","V4","V5","V6","V7"
"1",28,11,4,15,7,12,24
"2",19,19,5,9,19,22,1
"3",6,17,3,19,10,5,5
"4",26,4,14,17,14,27,6
"5",12,3,21,6,8,18,4
"6",27,18,23,27,21,17,14
"7",4,8,26,20,4,21,16
"8",7,27,13,14,28,19,8
"9",2,2,6,13,24,11,11
"10",25,14,20,2,23,7,7
"11",20,24,16,22,2,13,3
"12",3,25,11,26,15,15,25
"13",13,23,28,16,16,1,10
"14",17,5,27,8,27,14,17
"15",22,7,12,11,3,2,12
"16",10,20,22,10,5,8,27
"17",18,1,18,25,11,6,23
"18",8,10,24,24,18,10,2
"19",24,26,25,12,9,24,21
"20",5,12,15,7,20,3,22
"21",14,16,19,18,25,28,26
"22",23,22,8,21,26,4,18
"23",16,28,1,5,13,9,15
"24",1,21,17,3,12,26,13
"25",9,15,7,1,1,16,19
"26",11,6,2,23,22,23,20
"27",21,9,10,4,17,20,28
"28",15,13,9,28,6,25,9
