"","V1","V2","V3","V4","V5","V6","V7"
"1",12,11,1,21,12,21,11
"2",11,4,12,16,20,2,17
"3",7,5,3,3,14,10,3
"4",13,16,9,5,21,18,8
"5",20,21,14,1,11,8,10
"6",2,3,16,18,9,17,9
"7",9,7,19,4,5,3,12
"8",18,14,2,7,8,4,18
"9",5,10,21,8,19,12,6
"10",4,15,11,13,10,1,1
"11",1,18,5,10,17,6,13
"12",3,12,10,2,2,16,16
"13",16,17,20,17,3,11,15
"14",8,19,18,12,15,19,19
"15",6,9,8,20,7,9,21
"16",19,8,13,9,6,20,2
"17",15,2,15,6,13,13,20
"18",21,6,6,14,18,15,14
"19",17,13,17,19,16,5,4
"20",10,20,4,15,4,14,5
"21",14,1,7,11,1,7,7
