"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",3,2,21,21,12,6,11,11,2,8,7,9,18
"2",7,12,14,12,15,3,1,19,6,6,20,12,2
"3",14,20,17,4,5,8,20,13,8,13,19,14,19
"4",8,16,20,8,11,9,7,3,21,19,10,19,4
"5",17,13,3,10,17,10,10,1,9,1,12,1,21
"6",5,9,6,2,7,2,15,7,3,20,13,6,12
"7",12,5,12,5,8,15,2,4,4,3,3,17,14
"8",2,18,10,6,2,16,8,10,13,5,16,3,5
"9",1,7,15,16,21,14,17,2,11,15,17,16,10
"10",13,3,7,7,18,5,19,15,15,4,11,20,6
"11",6,8,4,13,3,19,6,16,12,14,9,21,20
"12",15,6,2,19,6,7,4,5,18,11,18,8,7
"13",20,10,19,1,20,18,5,14,7,12,8,7,8
"14",21,14,16,15,1,1,14,8,16,7,5,15,11
"15",16,4,13,11,4,11,16,18,10,17,1,2,1
"16",19,1,11,9,14,21,12,9,17,21,21,11,17
"17",11,19,9,17,19,4,3,12,14,18,4,4,16
"18",10,21,5,14,13,20,21,6,5,9,6,10,3
"19",4,15,1,3,16,12,13,20,19,10,2,13,13
"20",18,17,8,20,10,13,9,21,1,16,15,18,9
"21",9,11,18,18,9,17,18,17,20,2,14,5,15
