"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",22,4,19,18,18,15,13,14,17,4,1,18,18,7,15,17,7,10,7,21,6
"2",7,7,9,10,11,12,17,23,10,23,4,15,20,18,3,20,10,22,2,2,10
"3",6,11,16,22,9,7,5,9,20,5,6,5,17,5,4,6,9,17,15,5,20
"4",5,1,17,1,14,13,15,2,5,11,15,8,23,3,7,13,19,1,5,14,15
"5",11,10,23,13,6,8,19,19,15,22,3,2,9,10,21,12,23,2,23,13,8
"6",2,19,22,9,22,6,12,1,12,19,20,16,14,8,16,8,6,23,17,9,7
"7",13,21,18,12,3,23,9,10,21,10,22,1,15,16,12,18,18,12,3,1,2
"8",14,5,5,3,19,21,4,22,7,3,16,4,12,2,20,7,12,21,13,12,9
"9",19,17,12,21,20,11,10,20,9,7,19,19,13,11,6,21,20,3,22,4,18
"10",10,16,8,23,5,9,14,5,8,1,14,9,10,13,23,22,1,20,4,20,14
"11",8,13,20,19,12,17,3,17,6,14,18,10,8,22,2,1,5,4,10,17,4
"12",12,12,11,4,16,5,16,8,18,2,13,21,3,19,1,10,21,18,14,22,1
"13",3,15,1,17,15,16,21,18,19,18,23,11,4,6,14,15,16,16,11,18,23
"14",17,3,13,5,1,3,2,16,14,16,21,13,21,17,11,14,4,14,19,19,19
"15",15,20,10,11,23,2,7,12,4,20,2,3,11,12,9,4,15,11,1,23,21
"16",21,9,3,16,17,4,22,6,16,13,17,7,19,21,19,3,13,7,9,3,11
"17",18,6,15,20,10,20,1,3,11,21,10,20,5,15,18,9,22,19,8,10,17
"18",4,22,7,8,8,18,11,15,13,6,7,17,22,20,22,2,17,8,18,16,16
"19",23,18,6,15,2,19,20,7,2,17,9,14,16,4,5,11,11,15,20,15,3
"20",9,8,2,7,21,22,8,4,22,15,5,12,7,14,8,23,3,5,21,11,12
"21",20,14,21,2,13,14,18,11,1,9,8,6,1,23,17,19,8,13,16,7,22
"22",1,2,4,14,4,1,6,13,3,8,11,23,2,9,13,16,14,6,12,6,5
"23",16,23,14,6,7,10,23,21,23,12,12,22,6,1,10,5,2,9,6,8,13
