"","V1","V2","V3","V4","V5"
"1",2,8,11,5,22
"2",26,7,21,23,3
"3",14,24,27,27,8
"4",6,12,17,2,7
"5",3,4,26,16,17
"6",19,9,28,12,11
"7",10,16,24,9,2
"8",1,20,14,19,10
"9",5,17,19,24,27
"10",15,11,1,11,28
"11",25,2,13,14,26
"12",8,27,22,10,20
"13",11,25,5,18,24
"14",28,22,18,15,14
"15",21,5,4,4,9
"16",12,1,20,7,13
"17",9,3,8,21,6
"18",20,28,12,22,18
"19",22,13,23,20,23
"20",23,18,2,25,12
"21",17,14,10,17,1
"22",16,6,16,28,21
"23",18,21,25,3,25
"24",24,26,15,6,5
"25",13,19,9,1,16
"26",4,23,3,13,4
"27",27,15,7,8,19
"28",7,10,6,26,15
