"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",2,8,12,11,17,17,3,16,7,7,13,9,11,17
"2",14,15,11,12,4,3,16,10,11,5,12,13,4,15
"3",17,6,8,9,9,16,17,9,6,17,10,17,17,4
"4",6,17,14,14,13,8,7,11,16,13,4,16,14,10
"5",11,5,15,15,6,13,6,2,4,2,3,11,6,8
"6",4,4,9,10,16,10,15,7,13,6,5,2,2,2
"7",15,11,2,17,12,2,11,17,8,8,1,6,9,5
"8",13,10,13,2,2,14,5,15,15,11,8,7,5,3
"9",3,12,4,8,1,6,2,6,9,3,9,12,16,1
"10",8,2,16,7,3,5,13,14,3,9,7,3,15,12
"11",7,14,3,4,7,15,14,3,12,10,2,8,12,16
"12",9,1,1,6,10,11,10,13,17,1,17,14,8,11
"13",16,16,10,1,14,9,8,5,5,4,15,1,13,9
"14",12,3,7,16,8,7,1,4,14,16,11,4,10,14
"15",10,7,6,3,15,4,4,8,1,12,6,15,3,13
"16",5,13,5,13,5,12,9,12,2,14,16,5,1,7
"17",1,9,17,5,11,1,12,1,10,15,14,10,7,6
