"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",3,15,13,2,19,2,30,13,21,28,11,22,15,30,22,19,9,25,5,7,27,2,7,18,6,11,13,10
"2",25,3,11,27,29,26,18,28,15,1,26,17,13,11,19,30,14,4,16,17,22,3,19,5,22,10,30,8
"3",20,8,20,23,8,19,21,23,13,6,15,21,19,26,24,4,1,22,7,24,1,11,26,22,5,19,22,2
"4",19,11,6,9,3,10,8,9,25,5,20,20,24,22,9,24,24,23,4,6,21,23,11,8,21,18,27,6
"5",18,17,24,17,1,13,7,27,22,23,18,10,4,27,28,29,13,20,23,23,16,5,3,7,13,30,12,29
"6",21,30,16,6,27,14,16,3,23,11,21,30,1,2,20,1,30,29,13,18,3,6,16,6,9,14,17,18
"7",12,18,15,30,22,7,10,30,7,8,13,23,14,29,11,6,26,12,29,4,17,26,17,9,2,27,1,17
"8",13,14,25,5,12,3,19,19,8,25,8,6,3,20,12,2,7,6,24,16,4,18,15,4,25,6,29,7
"9",1,6,1,22,18,30,15,18,9,16,1,9,25,19,21,11,28,28,9,28,14,16,8,2,16,22,26,27
"10",27,19,14,25,17,6,1,17,30,15,23,16,18,3,8,12,2,26,28,25,13,17,2,23,30,5,25,20
"11",23,5,8,28,9,1,12,6,1,14,2,8,6,1,2,20,11,16,17,15,30,12,9,15,11,25,15,1
"12",10,28,3,3,6,8,20,29,11,9,17,5,17,25,6,17,22,9,14,26,29,7,22,21,29,12,14,24
"13",24,20,4,13,28,18,5,4,4,24,10,19,11,23,27,7,4,2,2,21,23,21,13,27,17,15,11,22
"14",7,2,30,10,24,24,14,26,26,7,19,7,5,15,10,10,6,15,11,10,24,28,6,28,7,13,18,23
"15",2,10,23,19,30,9,23,2,17,2,5,24,12,17,7,27,16,21,26,30,7,14,12,30,28,17,9,15
"16",26,1,28,1,7,17,11,10,10,17,30,25,16,18,23,18,29,7,30,29,18,30,28,16,15,2,16,13
"17",11,4,12,12,4,12,29,7,28,10,9,14,22,5,15,16,5,3,20,22,12,20,30,1,3,20,3,21
"18",6,29,9,24,2,22,17,22,18,22,7,28,10,6,29,21,19,11,18,12,11,25,10,29,10,3,28,14
"19",5,26,22,11,5,25,6,21,5,12,27,26,27,8,18,9,8,24,22,14,26,8,14,19,24,21,4,12
"20",8,21,26,26,25,5,28,5,19,18,29,4,23,13,30,8,18,18,12,20,20,24,20,14,23,28,20,3
"21",14,25,21,20,20,15,22,15,12,29,22,27,9,4,5,25,3,13,8,1,25,19,27,3,19,23,23,26
"22",4,13,10,29,10,21,9,1,20,20,24,18,20,16,3,3,12,10,10,8,5,1,21,12,14,1,7,30
"23",22,16,19,8,21,27,27,8,6,21,28,12,28,28,4,22,17,8,19,13,6,10,4,26,8,24,24,19
"24",30,24,29,14,13,4,25,20,2,3,12,15,21,9,26,23,25,14,3,11,8,15,5,11,18,4,6,25
"25",28,22,18,15,16,28,24,25,27,26,4,29,29,21,1,15,15,19,15,27,28,27,18,10,12,8,8,5
"26",16,9,5,18,23,16,13,24,24,30,16,1,26,7,17,14,27,1,21,3,2,9,1,20,20,16,2,4
"27",9,7,17,16,14,11,3,16,3,27,25,3,2,12,13,28,23,27,6,19,9,22,24,24,4,9,5,11
"28",17,27,27,21,15,29,2,11,29,13,6,13,8,24,14,13,21,5,1,9,10,4,29,17,27,26,19,9
"29",29,12,7,7,11,23,26,14,16,19,14,11,7,10,16,5,20,30,27,5,19,29,23,25,26,29,10,28
"30",15,23,2,4,26,20,4,12,14,4,3,2,30,14,25,26,10,17,25,2,15,13,25,13,1,7,21,16
