"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",4,16,8,16,10,10,10,13,6,15,1,11,9,1
"2",13,7,3,10,3,14,9,4,9,16,7,15,2,13
"3",2,3,10,9,12,15,7,14,10,3,13,14,13,12
"4",15,9,6,14,16,9,13,1,2,2,10,8,14,8
"5",10,15,5,7,11,16,2,9,7,6,15,5,1,4
"6",5,12,12,3,14,13,11,2,12,8,3,3,8,14
"7",1,8,2,4,4,8,12,16,3,10,11,2,5,10
"8",7,1,4,11,13,1,1,7,11,14,8,1,11,9
"9",3,11,11,13,2,3,6,3,13,4,12,10,4,6
"10",14,13,7,8,1,7,4,15,16,7,4,7,15,11
"11",9,4,1,2,9,6,14,8,14,1,5,12,7,2
"12",6,5,16,5,5,11,3,5,1,9,6,9,16,3
"13",16,10,15,1,15,5,5,12,8,12,9,16,6,7
"14",11,2,13,15,8,4,8,10,4,5,2,6,3,15
"15",12,6,14,12,6,12,15,11,15,13,14,4,10,5
"16",8,14,9,6,7,2,16,6,5,11,16,13,12,16
