"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",20,25,10,3,11,28,29,17,10,26,21,9,6,23,7,10,12,10,25,9
"2",12,23,4,28,26,2,10,8,11,17,18,15,20,22,11,27,7,5,6,2
"3",14,6,23,10,25,19,16,19,28,18,23,27,21,27,9,9,6,6,27,29
"4",30,19,18,15,21,30,20,25,1,7,16,28,17,13,18,20,2,29,23,1
"5",2,24,19,16,5,4,22,2,27,22,10,19,29,26,21,16,11,25,24,13
"6",24,22,12,8,4,17,12,4,4,16,14,18,15,7,26,26,29,7,30,30
"7",16,9,29,4,9,9,27,24,8,3,11,14,25,19,24,24,10,2,11,20
"8",25,8,16,9,15,11,2,5,12,13,27,17,9,29,28,2,5,23,7,10
"9",10,11,26,5,23,12,9,16,15,11,4,10,2,24,16,29,27,26,28,7
"10",15,3,13,29,7,29,14,3,29,4,17,4,10,20,12,17,28,30,13,19
"11",27,1,15,2,22,1,6,14,21,1,19,16,30,1,4,14,20,14,22,15
"12",6,18,30,21,18,26,7,12,23,30,28,12,11,16,25,25,1,13,21,24
"13",17,30,3,23,24,10,26,9,18,2,12,24,5,15,30,8,14,19,26,22
"14",29,15,21,25,6,5,21,15,14,20,5,6,3,2,15,13,3,12,3,28
"15",19,10,6,17,8,7,4,22,26,23,25,26,4,12,19,19,24,3,19,5
"16",7,20,27,30,14,6,30,30,22,15,15,30,16,14,8,1,30,11,12,12
"17",28,17,7,14,19,25,19,13,25,9,2,13,26,25,20,3,26,4,1,17
"18",26,14,1,20,1,15,24,28,19,14,30,11,18,30,6,30,17,24,16,25
"19",1,7,5,11,16,20,25,6,20,12,6,2,14,9,1,21,4,9,17,6
"20",22,27,20,27,28,23,1,27,17,19,7,1,24,17,29,15,19,8,18,11
"21",3,26,17,18,13,21,5,20,7,5,9,25,7,28,3,22,21,15,4,23
"22",5,2,9,13,27,3,17,26,2,27,13,7,12,21,23,6,23,16,15,26
"23",21,21,11,7,29,14,15,29,30,29,3,21,8,6,10,23,9,22,8,16
"24",8,13,22,19,30,24,23,1,3,10,29,20,1,5,14,12,18,1,14,14
"25",4,16,8,26,12,13,8,21,6,8,24,3,27,8,13,4,8,21,29,18
"26",11,28,24,6,2,18,13,23,24,6,22,8,13,3,22,7,16,18,5,3
"27",23,4,28,22,3,16,11,10,5,28,1,22,19,18,5,5,15,17,20,4
"28",9,12,2,1,10,27,3,11,16,21,8,29,22,10,17,11,13,28,10,27
"29",18,29,25,12,20,8,18,7,9,24,26,5,23,11,2,18,25,27,9,21
"30",13,5,14,24,17,22,28,18,13,25,20,23,28,4,27,28,22,20,2,8
