"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",4,18,30,15,12,10,22,30,3,30,17,7,22,15,18,15,10,30,29,8,25,2,1,12,14
"2",23,15,11,23,10,5,7,22,14,26,12,28,24,26,24,28,26,11,28,11,23,30,16,22,9
"3",7,23,22,8,3,28,6,14,24,17,2,13,6,11,26,25,19,10,26,17,19,3,17,4,26
"4",12,20,12,18,15,25,26,9,11,28,6,2,20,3,19,7,24,3,3,18,7,28,18,8,6
"5",29,30,29,30,28,17,8,1,13,18,24,16,23,12,30,18,13,2,11,27,16,11,29,15,11
"6",25,26,15,21,16,3,5,19,5,11,1,4,18,8,12,22,4,27,9,20,5,6,15,28,22
"7",18,11,7,10,11,20,16,24,30,29,30,8,16,13,7,30,12,9,6,6,1,14,27,18,30
"8",5,10,2,4,7,16,13,17,10,1,16,21,1,30,15,16,30,1,12,19,12,4,30,30,15
"9",21,14,28,16,27,19,19,20,12,9,3,26,5,14,9,4,11,4,27,26,11,27,7,21,29
"10",30,16,16,13,2,30,30,16,19,21,22,19,30,1,1,10,1,20,30,15,14,19,23,29,17
"11",17,1,20,26,20,11,2,28,20,14,21,18,8,2,16,9,23,6,2,1,22,1,10,20,19
"12",16,17,13,2,21,12,1,11,2,13,8,25,21,20,4,13,7,7,24,4,6,10,25,6,3
"13",22,6,5,3,29,26,10,10,9,10,18,3,15,4,27,26,6,18,20,12,27,22,8,19,13
"14",19,22,1,11,1,9,11,2,15,2,7,14,29,19,17,1,17,21,5,3,15,23,2,16,28
"15",26,24,27,5,17,23,18,8,29,24,13,22,14,27,8,6,20,24,8,10,26,5,14,23,7
"16",27,21,6,20,13,1,21,13,17,5,29,17,2,6,2,20,21,14,23,16,17,8,3,1,2
"17",8,4,26,9,25,6,24,4,26,6,11,10,27,10,14,19,25,12,22,14,2,12,12,27,10
"18",3,13,9,12,24,4,9,5,4,23,25,23,13,9,10,11,22,19,7,25,24,20,20,5,27
"19",10,28,17,7,19,27,28,26,7,3,28,20,28,23,11,21,15,8,13,13,30,26,11,10,20
"20",13,25,8,22,9,8,29,7,23,12,19,6,10,24,20,12,8,5,21,29,29,15,22,26,25
"21",15,29,3,1,22,13,20,29,22,22,10,24,11,5,23,27,29,29,14,28,10,16,6,13,16
"22",24,8,25,24,8,22,25,6,6,8,20,27,12,17,21,24,27,28,16,5,9,13,21,7,24
"23",6,19,18,29,26,14,14,3,21,25,15,1,4,29,3,23,2,15,15,2,13,29,9,9,18
"24",14,12,24,19,6,15,4,23,28,4,14,5,17,7,5,2,28,25,18,24,28,25,24,11,12
"25",20,2,4,28,30,21,23,25,16,20,5,11,25,28,13,14,18,22,19,21,21,7,26,2,21
"26",2,27,10,27,23,24,12,21,18,7,26,12,9,18,25,5,16,26,25,7,4,18,19,24,5
"27",9,3,14,17,14,18,3,12,27,27,27,29,26,22,28,3,5,17,17,23,8,9,4,17,23
"28",28,9,23,6,5,7,15,27,8,19,23,9,7,25,22,8,9,13,10,22,3,21,13,3,8
"29",1,5,21,25,4,29,17,15,1,16,9,15,19,21,6,29,14,16,1,30,18,17,5,25,1
"30",11,7,19,14,18,2,27,18,25,15,4,30,3,16,29,17,3,23,4,9,20,24,28,14,4
