"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",14,14,23,19,11,21,16,8,9,22,2
"2",8,20,20,7,1,14,10,3,15,20,15
"3",23,10,8,23,9,16,1,1,13,9,13
"4",9,9,10,14,23,5,3,19,10,23,16
"5",17,19,11,20,2,11,18,20,4,3,11
"6",10,4,7,12,5,3,22,4,5,13,4
"7",4,12,15,17,22,10,14,2,19,4,5
"8",7,16,4,18,14,20,23,14,22,10,18
"9",2,7,13,3,4,23,15,18,16,15,10
"10",13,15,3,4,17,2,6,7,17,1,12
"11",19,8,22,10,3,7,8,11,23,7,7
"12",21,13,1,5,6,9,13,15,7,21,20
"13",12,22,6,13,8,17,4,22,20,17,6
"14",22,21,18,16,19,4,20,13,14,16,9
"15",1,23,9,9,10,6,17,9,11,6,23
"16",15,5,17,22,12,1,11,21,18,12,22
"17",5,17,16,2,13,8,2,16,6,11,1
"18",6,2,19,15,7,18,5,12,8,2,19
"19",20,3,5,8,20,19,12,17,12,5,3
"20",3,6,2,21,16,13,9,10,2,18,8
"21",11,11,21,6,18,15,21,23,1,8,14
"22",18,18,14,11,21,22,7,5,3,14,21
"23",16,1,12,1,15,12,19,6,21,19,17
