"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",9,17,10,10,4,18,18,2,25,16,23,2,18,10,7,18,19,1,10,16
"2",22,20,15,20,5,12,7,6,18,10,8,20,6,20,4,19,5,6,20,19
"3",18,9,9,3,23,4,1,4,7,1,15,4,11,2,8,10,8,8,15,13
"4",15,22,16,24,25,7,6,16,24,12,24,16,14,14,25,1,16,7,11,4
"5",2,7,22,4,24,20,20,11,22,13,9,23,13,24,5,5,11,17,18,15
"6",7,4,13,6,15,10,10,22,3,9,22,21,20,21,19,15,4,5,3,17
"7",14,1,3,17,14,23,11,7,23,7,21,15,2,7,20,13,14,24,23,20
"8",8,15,8,12,7,6,21,17,8,8,6,24,4,5,18,7,17,2,21,6
"9",16,24,25,1,10,14,13,13,6,17,25,6,1,25,13,11,25,12,25,10
"10",24,12,4,7,19,21,4,19,13,23,7,12,19,16,14,6,22,4,19,24
"11",19,18,5,16,22,16,19,8,9,3,16,22,22,22,15,21,20,20,7,9
"12",3,14,2,13,3,1,2,24,15,19,18,10,12,23,22,23,10,19,17,12
"13",12,19,24,9,6,15,5,15,19,4,11,8,24,4,17,8,7,21,5,23
"14",23,6,17,14,16,2,22,9,21,22,10,7,23,11,16,16,3,11,24,5
"15",5,13,18,8,13,9,3,1,17,24,14,25,7,13,10,14,21,25,1,1
"16",6,21,14,15,17,22,8,21,1,6,4,3,17,12,3,17,13,18,22,3
"17",13,3,23,19,21,17,14,20,14,20,17,11,3,3,1,20,9,3,6,8
"18",20,5,20,5,2,19,9,5,5,15,2,17,15,6,24,24,15,14,12,7
"19",25,10,12,11,1,24,23,18,12,5,20,13,9,17,9,2,2,16,8,2
"20",21,11,19,21,9,5,17,23,2,18,19,19,16,8,6,9,18,23,16,22
"21",1,25,1,25,11,25,15,12,10,25,13,18,25,1,12,12,1,10,13,14
"22",11,2,6,22,8,3,12,10,16,11,1,9,21,19,2,4,24,13,4,11
"23",10,16,11,18,20,13,16,3,4,21,5,5,5,18,23,3,6,22,9,18
"24",17,23,7,2,18,8,24,25,20,14,3,14,8,9,11,22,12,15,2,21
"25",4,8,21,23,12,11,25,14,11,2,12,1,10,15,21,25,23,9,14,25
