"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",25,9,4,20,26,6,13,11,27,16,12,8,25,3,26,13,25,11,12,17,8,23
"2",15,1,13,18,6,16,1,23,12,27,26,2,15,15,17,4,27,25,4,12,21,12
"3",3,21,3,22,27,14,15,20,5,5,24,19,4,13,20,15,16,12,3,2,25,17
"4",24,7,5,17,18,22,23,8,2,21,21,18,12,20,7,8,3,19,16,7,10,25
"5",20,22,20,21,7,13,17,2,10,25,2,14,20,17,15,26,12,4,1,6,3,19
"6",27,14,27,23,4,18,12,18,23,3,11,26,17,18,21,6,11,15,26,3,16,6
"7",2,12,24,15,24,4,2,4,21,18,25,16,10,16,19,20,8,21,23,22,5,13
"8",17,3,7,26,15,12,7,13,16,26,13,21,1,2,2,22,10,5,24,14,23,8
"9",22,6,25,11,13,3,21,19,3,7,22,17,18,6,11,21,22,8,5,20,12,3
"10",5,26,12,16,17,25,22,6,18,17,7,24,16,5,23,25,24,20,14,10,20,2
"11",18,17,18,2,5,26,27,10,8,13,27,10,2,10,27,12,18,13,25,13,2,10
"12",9,10,21,8,25,8,19,14,6,24,5,3,27,11,5,14,14,23,21,1,17,5
"13",6,8,15,10,1,9,4,9,1,12,8,23,23,21,25,10,1,10,7,15,22,16
"14",8,15,1,4,10,23,9,15,26,23,16,20,21,12,8,7,15,14,2,27,4,1
"15",16,27,9,5,21,1,14,26,14,19,20,13,19,26,24,1,9,1,19,8,14,7
"16",11,4,2,7,9,10,25,25,25,6,4,11,6,19,18,27,4,17,13,11,11,11
"17",12,19,17,19,16,17,26,7,24,11,23,1,24,22,3,16,7,6,11,21,26,9
"18",1,16,14,14,14,11,24,24,11,14,3,27,13,14,1,3,26,2,27,26,9,22
"19",19,18,23,13,23,24,3,22,19,9,6,5,9,7,6,9,2,9,6,9,7,15
"20",7,24,22,25,3,2,20,16,17,20,15,9,3,4,13,5,5,18,10,18,15,27
"21",13,13,26,6,19,21,10,17,9,22,10,7,5,23,22,23,21,7,15,24,24,26
"22",21,25,6,12,8,20,6,21,7,10,17,12,26,8,16,24,6,22,22,25,18,21
"23",14,23,8,24,12,7,5,5,4,4,9,6,8,24,9,11,23,16,18,19,6,4
"24",10,2,19,27,22,27,16,27,15,8,14,22,22,27,12,18,17,26,17,16,1,18
"25",26,11,11,1,20,15,18,1,13,2,1,15,11,1,14,2,13,27,9,23,27,14
"26",23,20,16,3,11,5,8,12,22,15,18,25,7,25,4,19,20,24,8,5,19,20
"27",4,5,10,9,2,19,11,3,20,1,19,4,14,9,10,17,19,3,20,4,13,24
