"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",8,17,27,26,23,29,22,12,20,21,23,19,29,6,9,13,25,26
"2",2,16,13,16,13,19,2,15,21,4,27,29,3,8,5,30,7,18
"3",14,24,2,20,29,13,12,6,8,25,11,26,22,18,8,26,9,28
"4",22,27,30,11,5,14,11,3,28,9,12,23,6,16,4,17,26,10
"5",3,23,16,23,25,1,20,8,24,7,2,14,13,23,29,22,22,14
"6",30,25,14,29,8,3,27,30,29,16,18,16,21,9,14,19,4,21
"7",5,19,18,2,2,12,26,13,11,26,21,22,4,19,23,10,3,8
"8",4,11,29,9,16,22,10,29,27,28,15,8,25,17,26,23,10,22
"9",27,6,3,7,17,20,28,11,23,2,10,27,16,12,27,12,14,27
"10",12,9,22,5,7,2,8,7,6,11,30,9,14,10,17,20,23,29
"11",23,21,9,24,4,30,7,22,9,8,20,17,8,25,25,25,16,25
"12",1,2,12,14,9,16,30,2,1,15,16,15,20,30,1,5,17,23
"13",20,15,28,15,28,10,24,21,17,13,4,5,2,29,19,16,1,30
"14",7,8,6,27,19,7,9,28,4,18,8,24,5,15,20,9,28,19
"15",13,14,7,4,10,27,23,17,25,17,5,21,23,27,18,27,27,2
"16",16,28,19,12,3,21,15,24,14,29,1,30,18,2,16,1,21,24
"17",26,3,25,3,20,5,18,18,10,24,9,18,9,4,2,28,13,15
"18",28,10,11,30,26,23,14,1,13,30,17,12,1,13,15,21,20,1
"19",15,1,21,17,30,15,4,23,30,14,22,20,12,5,30,7,18,3
"20",11,26,5,8,21,28,17,4,18,12,19,4,7,3,22,4,6,16
"21",25,13,1,19,12,9,21,19,26,27,28,7,10,21,7,3,24,17
"22",29,20,17,1,27,17,1,16,12,1,14,6,26,20,13,6,29,20
"23",19,30,23,18,18,18,29,14,2,19,26,1,19,14,24,29,30,11
"24",24,18,10,13,11,8,5,10,3,20,3,13,30,7,28,14,8,5
"25",6,5,4,22,1,11,16,20,16,6,13,3,27,1,12,24,19,9
"26",21,7,15,10,24,25,19,26,5,10,29,25,28,22,11,18,2,12
"27",9,29,8,6,22,4,6,25,19,22,24,11,17,28,3,15,15,6
"28",10,22,24,21,14,24,25,27,7,3,6,10,11,11,6,8,12,4
"29",17,4,20,25,6,26,3,9,22,23,7,2,15,24,10,11,5,13
"30",18,12,26,28,15,6,13,5,15,5,25,28,24,26,21,2,11,7
