"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",30,18,22,1,10,1,1,14,15,19,17,28,13,30,26,3,1,30,6,8,16,14,15,17,30,15,27,15,29
"2",19,29,25,20,25,30,14,26,5,3,18,27,14,8,28,23,11,15,29,12,6,6,3,3,16,16,14,21,27
"3",8,13,15,25,8,19,4,20,12,28,3,9,27,11,20,18,3,7,25,23,15,22,23,8,21,30,11,28,30
"4",1,20,13,9,20,27,30,29,22,15,25,1,12,19,16,21,5,3,24,2,14,15,30,15,4,10,3,9,10
"5",3,21,20,18,18,3,11,9,27,11,23,13,11,4,18,19,23,17,2,28,28,30,2,18,10,14,9,1,28
"6",12,23,18,4,14,22,25,23,2,25,29,15,24,25,22,30,22,8,5,7,24,19,5,24,14,20,22,29,16
"7",17,30,27,29,12,12,27,8,13,17,8,3,20,23,10,1,16,1,13,30,13,5,11,22,2,22,5,16,24
"8",4,17,2,10,27,17,16,24,8,12,9,22,23,26,17,4,12,22,18,24,27,24,27,27,7,7,29,19,25
"9",18,15,5,6,24,16,10,10,10,18,27,6,4,22,25,15,6,9,16,27,26,7,8,5,23,24,23,2,1
"10",10,5,29,14,5,20,24,4,16,6,22,17,5,7,11,13,4,28,21,4,25,9,24,26,20,23,8,18,23
"11",11,25,11,2,19,4,17,11,3,4,4,5,18,10,7,12,19,27,28,14,23,20,12,2,25,3,4,12,12
"12",27,19,24,15,13,28,12,25,11,7,6,2,2,5,13,8,29,25,8,21,21,26,19,19,18,19,18,30,3
"13",6,11,7,30,1,15,5,21,7,20,16,19,6,1,3,25,18,4,30,16,30,12,14,21,5,9,25,13,11
"14",2,27,4,19,6,11,22,15,23,14,19,11,21,3,30,6,26,12,10,5,9,21,16,6,26,27,28,17,7
"15",28,14,23,8,30,18,19,16,21,30,13,21,28,2,8,17,2,13,1,15,29,1,10,12,13,5,2,20,8
"16",21,28,8,7,2,29,7,5,24,24,11,14,22,14,23,22,28,18,14,17,18,8,29,25,28,4,12,8,21
"17",7,8,30,3,29,7,8,3,19,1,15,29,16,16,14,26,27,6,12,22,17,17,26,10,1,26,19,25,14
"18",13,26,28,23,22,10,20,27,25,27,12,23,8,28,6,24,8,20,20,18,19,27,18,20,27,25,13,7,5
"19",26,4,9,13,16,5,28,22,20,10,24,8,15,13,1,20,7,5,15,19,7,23,9,23,29,1,20,27,26
"20",9,22,19,11,3,23,29,18,4,13,2,30,9,17,4,10,14,14,4,26,2,3,22,9,22,13,24,4,15
"21",15,3,26,12,28,24,2,19,26,21,10,4,17,12,15,5,21,19,27,10,8,13,7,29,12,28,30,3,13
"22",22,10,14,27,26,14,6,12,1,5,21,18,25,15,24,7,9,2,7,13,4,28,21,28,17,12,6,6,6
"23",25,12,3,16,9,21,23,2,28,2,14,12,26,27,12,28,10,26,26,29,5,16,1,14,15,17,26,11,9
"24",20,9,6,5,4,13,9,28,18,23,7,16,7,20,9,14,20,23,11,3,3,29,4,4,6,18,7,22,22
"25",24,6,12,24,7,6,18,30,29,16,28,26,29,9,29,11,17,24,17,20,22,2,20,13,3,21,17,5,20
"26",23,1,17,22,23,9,26,7,6,22,5,7,3,6,21,27,13,21,3,9,12,18,28,7,9,8,21,14,19
"27",14,24,21,28,15,25,3,13,30,9,30,20,19,24,2,16,15,29,9,11,11,11,25,1,8,6,16,26,2
"28",29,16,1,26,17,2,15,17,17,8,1,24,1,21,19,29,25,10,19,6,10,10,13,30,19,29,1,10,17
"29",16,2,10,21,11,26,21,6,14,26,20,25,10,18,27,2,24,11,23,25,20,25,6,11,11,2,10,24,4
"30",5,7,16,17,21,8,13,1,9,29,26,10,30,29,5,9,30,16,22,1,1,4,17,16,24,11,15,23,18
