"","V1","V2","V3","V4","V5","V6"
"1",20,2,16,15,22,7
"2",16,8,23,23,8,5
"3",6,17,19,11,1,8
"4",18,24,12,3,23,15
"5",13,23,25,13,7,20
"6",7,7,21,17,24,17
"7",15,18,2,22,21,19
"8",9,3,13,21,2,21
"9",10,25,14,16,12,1
"10",3,4,24,4,13,11
"11",5,20,8,7,9,23
"12",1,10,4,14,6,16
"13",2,21,17,24,17,14
"14",11,9,15,6,19,25
"15",21,22,5,18,3,9
"16",12,14,9,10,25,10
"17",17,1,1,9,11,13
"18",19,15,20,19,14,24
"19",14,6,10,5,5,2
"20",22,12,18,2,4,18
"21",24,5,6,12,16,22
"22",25,13,11,25,10,12
"23",4,11,7,20,20,3
"24",8,16,3,1,15,6
"25",23,19,22,8,18,4
