"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",14,13,14,10,13,4,11,13,7,6,10
"2",2,2,13,14,6,10,3,11,10,5,7
"3",13,11,2,15,8,7,1,8,5,14,5
"4",10,8,12,13,9,12,14,6,14,12,15
"5",4,9,15,6,2,8,8,1,2,15,9
"6",8,5,8,9,15,15,7,14,1,11,2
"7",11,7,11,5,12,5,4,2,13,4,3
"8",7,12,10,1,7,11,15,9,4,1,4
"9",9,10,1,7,3,9,6,15,15,3,11
"10",12,1,9,2,5,2,5,10,6,10,14
"11",6,4,4,12,10,3,9,4,3,2,12
"12",3,14,6,4,14,13,2,5,8,8,13
"13",15,3,5,8,1,14,12,3,9,7,6
"14",5,15,7,11,4,1,10,7,12,9,1
"15",1,6,3,3,11,6,13,12,11,13,8
