"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",7,18,28,9,10,9,16,26,1,25,29,19,17,4,18,20,19,22,23,3,10,15,28,4,10
"2",16,28,29,20,11,28,14,14,29,14,23,16,3,13,29,8,24,21,1,16,16,2,18,29,3
"3",26,8,25,12,6,2,4,3,2,12,1,13,9,16,15,13,15,1,10,21,3,8,29,20,13
"4",2,25,27,15,4,24,13,27,15,10,3,18,27,29,10,18,9,25,12,29,29,22,11,14,14
"5",27,24,20,17,8,14,21,10,3,6,11,26,6,7,5,22,26,27,16,8,21,14,4,12,26
"6",18,3,19,13,20,3,6,21,24,5,16,7,20,26,12,3,23,28,25,12,25,16,22,9,4
"7",15,7,22,26,1,19,29,7,16,13,6,4,11,6,2,15,3,12,29,13,14,29,17,5,6
"8",24,20,24,25,14,13,24,25,23,27,14,22,25,21,4,2,14,4,24,17,8,5,10,23,19
"9",12,19,4,5,12,6,17,2,28,3,8,20,28,5,11,5,22,17,5,20,11,28,16,17,22
"10",29,12,1,1,16,20,11,13,14,26,10,23,1,2,17,1,10,3,13,10,28,17,14,11,1
"11",4,29,17,19,23,27,1,11,22,29,9,6,18,1,8,14,16,14,9,14,4,13,24,8,29
"12",13,21,11,16,27,23,5,24,7,16,7,12,24,9,27,11,28,7,26,7,22,25,8,24,12
"13",17,9,26,6,22,25,25,5,13,19,19,24,23,23,23,25,27,9,18,24,15,21,23,10,27
"14",21,27,6,4,3,21,10,19,20,7,20,27,16,17,13,21,1,11,28,11,2,19,25,27,16
"15",20,16,23,8,24,7,7,23,27,15,26,14,8,10,6,27,6,5,3,15,19,24,7,3,20
"16",1,4,9,11,29,26,28,4,21,11,28,21,10,15,7,10,13,29,17,6,9,11,9,18,11
"17",14,13,5,24,26,10,23,28,19,9,5,28,7,28,24,16,17,13,2,5,17,9,27,6,17
"18",11,2,12,3,21,11,15,16,9,23,4,17,5,22,1,19,11,19,27,18,26,3,19,28,28
"19",25,15,16,7,17,18,19,15,26,24,2,3,15,24,22,29,20,24,11,2,5,26,1,22,9
"20",23,14,13,28,15,29,3,1,10,1,24,15,29,20,16,17,8,16,21,1,18,1,13,1,24
"21",5,23,18,14,13,12,27,8,5,17,22,5,13,25,19,4,5,6,6,4,24,20,21,26,23
"22",19,6,7,10,5,22,20,22,8,21,13,8,21,11,26,7,2,26,4,19,12,7,6,7,21
"23",9,26,15,2,19,4,26,18,11,2,15,9,4,14,20,12,18,8,20,28,6,6,3,2,7
"24",8,1,21,29,28,15,8,17,4,4,12,25,19,12,21,24,7,15,7,23,7,18,12,25,2
"25",28,22,10,21,25,5,22,6,17,22,18,10,26,8,14,23,4,23,14,26,23,10,26,21,8
"26",10,10,14,22,7,1,2,9,18,28,25,29,12,18,28,6,12,18,22,25,20,27,2,13,15
"27",6,11,2,18,2,8,9,12,12,20,21,11,22,27,3,26,25,10,8,9,13,4,5,16,5
"28",22,17,3,27,18,16,12,29,6,18,27,1,2,19,9,9,29,20,15,27,1,23,20,15,18
"29",3,5,8,23,9,17,18,20,25,8,17,2,14,3,25,28,21,2,19,22,27,12,15,19,25
