"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",12,23,24,6,23,16,21,9,8,8,16,6,5,10,5,7,17,5,11,21,15,7,5,25,6,2
"2",23,17,20,10,16,6,18,23,12,23,22,9,20,19,20,12,9,19,26,24,23,25,19,22,3,5
"3",7,2,7,5,11,13,7,15,20,24,11,24,25,12,3,11,13,24,25,7,14,4,11,27,5,23
"4",20,22,8,12,25,26,11,26,26,14,13,10,21,26,2,5,23,20,8,10,13,23,6,5,14,8
"5",26,3,9,9,10,21,19,16,21,7,20,22,17,9,23,22,12,8,7,18,19,2,25,4,16,4
"6",17,1,13,21,22,9,8,8,3,17,26,2,27,21,26,15,10,2,16,13,1,10,10,3,10,15
"7",24,13,4,25,21,22,20,25,14,3,2,15,2,16,24,6,7,16,20,6,5,3,15,19,7,14
"8",25,7,16,26,2,20,9,10,18,20,10,4,7,5,12,10,4,21,6,22,25,15,2,10,8,16
"9",6,9,19,3,6,25,24,12,13,21,5,16,18,24,21,25,22,18,2,26,6,9,9,20,13,12
"10",2,8,15,19,20,1,10,21,15,19,23,23,3,11,6,9,27,15,1,14,3,11,18,18,25,3
"11",21,26,17,23,18,12,2,22,9,4,15,13,26,6,11,26,20,13,3,1,24,8,20,17,11,21
"12",16,10,6,22,19,19,23,7,6,9,25,25,13,20,17,13,21,25,9,20,26,21,14,26,23,25
"13",18,21,5,18,8,4,13,3,4,18,9,17,6,25,7,23,19,23,19,19,16,5,22,8,4,9
"14",13,14,23,4,17,8,14,2,5,10,7,20,24,2,25,8,5,26,5,3,11,22,16,9,17,7
"15",3,20,10,15,12,23,16,24,2,25,19,21,10,8,15,27,1,7,10,11,7,24,7,13,1,20
"16",5,12,11,2,26,17,3,17,10,5,8,5,11,7,9,16,14,22,22,25,4,26,23,6,19,18
"17",22,4,25,16,4,18,4,19,7,11,6,14,12,23,4,21,8,3,17,8,12,19,17,23,24,1
"18",9,5,27,27,15,10,15,13,23,2,12,19,14,27,14,2,25,10,13,23,9,17,26,2,2,22
"19",14,25,14,24,1,11,27,6,19,6,14,26,23,15,1,19,11,12,27,16,2,27,1,16,18,11
"20",27,27,1,11,14,15,1,1,17,27,27,18,15,4,13,1,15,1,18,27,8,13,13,14,27,13
"21",1,19,22,13,5,24,17,11,11,12,24,3,22,18,8,3,2,17,15,5,20,1,24,15,22,19
"22",10,11,26,20,13,14,26,20,27,26,17,1,1,14,18,24,16,27,21,2,17,14,12,1,20,6
"23",11,6,12,14,7,2,22,27,1,13,4,12,19,3,16,4,18,9,23,15,21,12,4,7,26,26
"24",8,15,3,17,24,3,25,4,25,22,3,7,16,13,10,17,6,4,4,12,18,20,27,21,12,17
"25",4,16,2,1,3,5,5,14,16,1,21,11,9,17,22,14,24,6,12,4,27,18,3,12,9,10
"26",19,18,18,7,9,27,12,5,22,15,18,8,4,1,27,18,26,11,24,9,10,16,21,24,15,27
"27",15,24,21,8,27,7,6,18,24,16,1,27,8,22,19,20,3,14,14,17,22,6,8,11,21,24
