"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",27,20,21,27,5,10,13,21,7,24,3,12,7,22,7,16,27,19,10,26,19,24,8,15,16,3
"2",25,7,3,7,12,18,9,9,25,27,7,25,26,11,12,10,5,16,8,23,6,20,16,20,17,28
"3",4,5,16,22,18,27,20,1,15,21,24,13,21,28,2,15,2,12,4,22,23,7,14,7,19,21
"4",8,16,9,4,10,20,7,7,3,20,25,18,14,6,9,5,24,23,28,7,20,23,10,9,23,19
"5",7,6,24,6,22,24,25,14,20,16,6,22,8,23,4,25,26,13,24,10,3,22,22,17,12,16
"6",15,11,25,16,11,17,28,8,17,6,11,1,12,4,8,2,21,7,9,28,18,2,28,11,22,8
"7",21,26,26,20,25,22,15,5,11,25,21,16,25,15,27,11,25,5,19,3,10,15,18,24,21,5
"8",24,12,5,3,27,16,11,17,9,2,19,15,5,24,13,28,20,8,7,13,22,6,3,25,25,17
"9",23,27,2,9,24,23,27,23,13,18,16,5,3,16,20,8,10,27,17,21,21,21,19,6,11,20
"10",26,9,6,19,4,26,3,24,10,14,26,6,19,8,6,18,13,10,22,9,2,4,17,14,7,7
"11",20,18,27,2,8,12,4,13,19,22,20,21,18,27,26,20,9,24,2,17,15,11,27,4,2,14
"12",19,15,20,26,21,9,8,25,27,8,10,10,20,25,17,3,6,9,26,12,11,26,12,5,24,22
"13",5,25,23,11,3,28,1,18,23,15,15,23,1,1,16,13,8,1,15,24,13,12,1,16,28,15
"14",10,14,1,21,13,21,14,26,24,5,14,27,27,18,28,27,22,18,27,27,28,13,13,12,10,9
"15",3,8,7,17,23,13,5,6,2,11,5,17,2,19,21,7,18,4,6,19,9,16,15,1,6,4
"16",28,17,15,14,1,14,23,15,1,10,1,28,15,14,24,6,1,3,25,11,24,5,25,23,15,18
"17",13,10,11,28,15,7,26,10,18,26,27,14,4,3,25,21,7,6,21,15,25,28,7,18,5,13
"18",22,24,10,18,9,4,22,4,16,4,17,26,9,20,1,1,14,17,14,5,4,14,2,13,1,23
"19",11,3,14,13,7,5,12,27,22,19,23,2,10,21,19,12,23,2,12,2,17,17,24,28,9,27
"20",17,21,17,23,26,25,6,3,21,9,2,3,11,7,23,23,16,22,5,8,16,9,9,19,13,25
"21",14,4,28,12,20,3,2,11,8,17,8,8,28,17,5,9,11,28,20,14,27,8,4,22,8,12
"22",16,1,22,8,2,11,21,12,6,3,22,9,24,9,22,24,19,15,18,18,8,18,5,2,20,26
"23",2,23,4,15,6,6,17,2,12,13,12,4,16,26,11,26,4,21,23,16,12,19,21,27,26,6
"24",9,19,13,1,17,8,24,19,28,12,28,7,22,12,15,4,28,20,3,20,1,10,11,21,14,2
"25",6,13,18,25,28,15,16,20,5,1,18,19,17,5,10,14,12,25,13,25,5,27,26,26,4,24
"26",1,22,19,5,14,19,18,28,4,28,9,11,13,13,18,22,3,14,11,1,7,1,6,10,3,10
"27",18,2,8,24,19,1,19,16,26,23,13,24,6,10,14,17,17,26,16,6,14,3,20,3,27,1
"28",12,28,12,10,16,2,10,22,14,7,4,20,23,2,3,19,15,11,1,4,26,25,23,8,18,11
