"","V1","V2","V3","V4","V5"
"1",6,10,23,2,3
"2",25,29,22,13,18
"3",7,23,7,10,15
"4",5,27,16,24,25
"5",2,21,26,15,10
"6",28,22,10,17,28
"7",13,19,5,22,2
"8",11,28,11,8,5
"9",27,3,27,23,14
"10",29,17,17,5,9
"11",20,6,15,16,1
"12",9,18,24,28,17
"13",18,20,14,1,20
"14",23,7,8,3,16
"15",21,5,25,9,26
"16",1,8,18,18,19
"17",4,4,9,26,8
"18",8,13,13,12,13
"19",10,2,2,14,22
"20",15,25,28,4,23
"21",19,26,1,20,12
"22",12,12,21,21,29
"23",22,24,20,27,4
"24",24,14,6,25,21
"25",14,1,19,7,11
"26",17,15,29,19,7
"27",16,9,12,29,24
"28",26,11,3,11,6
"29",3,16,4,6,27
