"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",16,20,5,5,4,8,6,6,18,4,14,10,5,7,20,9,8
"2",5,5,7,7,7,18,20,16,20,15,16,2,13,10,11,5,4
"3",18,10,6,14,11,9,4,20,9,19,20,17,20,18,18,4,11
"4",4,12,21,1,12,11,12,4,7,18,21,15,7,5,13,18,2
"5",12,2,16,16,3,17,13,8,14,21,5,11,19,3,21,13,14
"6",14,16,3,13,19,3,19,5,6,14,2,6,17,12,15,11,3
"7",13,9,2,15,21,21,15,11,5,9,17,18,3,1,6,8,12
"8",20,19,10,21,8,12,21,10,21,16,11,21,8,13,9,17,20
"9",21,13,12,8,18,16,5,2,11,10,15,1,21,9,7,21,16
"10",19,11,20,20,13,13,10,19,12,1,4,4,6,6,10,2,5
"11",9,1,4,19,15,10,8,9,15,3,13,12,12,19,1,19,1
"12",7,14,1,3,1,14,11,21,8,11,3,9,2,16,12,20,15
"13",17,6,14,4,5,5,17,18,4,7,10,16,18,8,4,16,7
"14",3,17,18,17,2,7,16,7,10,5,19,8,15,15,5,6,13
"15",15,3,19,9,17,2,14,15,17,12,18,7,4,20,14,12,18
"16",8,18,9,2,16,6,9,14,16,17,6,13,14,2,2,3,17
"17",11,21,15,10,9,20,1,12,1,20,9,5,9,21,3,10,6
"18",6,4,13,12,6,1,3,1,13,13,1,20,1,11,8,7,10
"19",1,8,8,18,10,4,2,13,2,8,12,3,11,4,16,15,21
"20",2,15,17,11,20,19,7,17,19,6,8,19,16,14,17,14,9
"21",10,7,11,6,14,15,18,3,3,2,7,14,10,17,19,1,19
