"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",18,1,11,9,17,18,7,7,2
"2",7,2,20,8,12,3,14,19,18
"3",19,13,16,1,14,9,3,12,21
"4",21,11,10,4,5,13,19,22,8
"5",9,5,7,7,3,7,2,3,12
"6",11,20,14,3,10,2,12,5,1
"7",16,19,3,12,2,20,13,8,19
"8",20,21,9,22,19,8,15,10,10
"9",5,22,21,10,4,16,6,15,11
"10",17,16,5,16,7,4,5,17,5
"11",1,10,17,13,21,5,4,9,7
"12",22,7,22,15,8,12,9,4,17
"13",6,12,1,20,13,14,10,1,6
"14",14,15,19,6,20,17,18,2,14
"15",3,14,12,18,6,6,20,6,20
"16",12,3,18,19,1,10,17,13,3
"17",8,17,15,14,15,19,21,18,4
"18",13,9,13,21,11,22,1,21,15
"19",10,4,8,17,22,15,11,16,22
"20",15,8,2,11,16,1,22,14,13
"21",4,18,4,5,18,11,8,20,16
"22",2,6,6,2,9,21,16,11,9
