"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",12,10,18,13,9,5,1,1,2,8
"2",1,16,1,20,10,10,12,11,5,16
"3",4,4,12,11,15,19,8,6,3,19
"4",14,5,11,19,5,7,3,9,17,17
"5",6,13,15,17,2,18,4,13,8,4
"6",2,6,13,9,8,1,17,19,11,6
"7",7,1,4,15,13,4,11,15,20,9
"8",19,7,9,18,18,14,13,4,7,5
"9",10,8,3,7,20,13,2,20,9,14
"10",16,17,16,12,14,11,9,18,18,1
"11",8,20,10,1,6,15,10,17,1,10
"12",20,2,20,3,11,16,6,12,13,11
"13",9,19,19,16,19,8,20,8,12,12
"14",18,18,5,10,1,2,7,5,10,13
"15",15,14,14,4,16,3,15,14,6,18
"16",3,12,8,2,17,6,5,7,15,3
"17",13,3,6,6,4,9,19,10,4,2
"18",5,9,17,5,3,12,14,3,19,15
"19",17,11,7,14,7,17,18,16,14,20
"20",11,15,2,8,12,20,16,2,16,7
