"","V1","V2","V3","V4","V5"
"1",29,17,28,14,27
"2",13,30,15,17,12
"3",9,26,23,25,29
"4",3,23,26,18,6
"5",11,3,22,2,23
"6",22,15,2,23,22
"7",2,8,16,11,26
"8",12,10,1,15,5
"9",14,7,27,29,20
"10",5,2,11,26,9
"11",30,9,12,19,18
"12",17,24,20,9,21
"13",19,5,24,12,2
"14",16,4,5,20,28
"15",24,29,25,5,17
"16",21,20,30,21,10
"17",23,1,18,16,15
"18",26,6,7,3,11
"19",25,22,14,28,25
"20",8,16,13,6,1
"21",10,18,6,30,14
"22",18,27,9,24,3
"23",15,19,17,1,7
"24",1,14,19,22,16
"25",27,12,21,27,4
"26",28,25,4,10,8
"27",7,11,29,8,13
"28",20,13,10,7,30
"29",4,21,3,4,19
"30",6,28,8,13,24
