"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",5,10,18,7,20,11,23,6,19,4,22,5,22,3,3,16,17,7,8,7,17
"2",17,3,10,10,4,3,14,22,6,8,12,21,24,5,17,25,4,17,2,19,18
"3",22,18,23,23,16,2,17,18,24,12,24,9,5,10,18,23,3,2,12,10,6
"4",2,22,17,22,2,14,25,13,7,17,27,17,23,22,22,15,18,25,9,17,3
"5",1,13,27,6,11,13,5,27,16,23,21,18,2,6,23,7,13,9,14,20,25
"6",7,2,4,16,1,26,26,19,21,16,11,8,13,11,16,1,19,1,23,14,19
"7",20,6,22,2,12,23,21,17,26,24,17,25,9,20,7,21,21,20,5,16,15
"8",24,15,14,27,6,18,13,2,17,2,19,27,17,13,25,17,23,8,27,27,16
"9",14,14,11,12,22,27,27,1,15,7,9,12,1,27,13,11,1,10,1,18,2
"10",8,26,16,3,5,4,12,23,12,5,8,4,4,24,9,19,22,12,21,13,9
"11",3,5,13,24,21,22,11,24,9,10,25,26,15,18,6,9,2,14,20,1,12
"12",27,7,20,21,3,9,3,7,13,20,7,16,14,25,1,13,6,4,10,12,23
"13",10,19,19,5,7,24,2,5,25,13,6,20,20,7,15,14,5,22,22,6,7
"14",21,21,6,11,15,25,1,12,5,11,26,2,7,9,5,12,25,15,11,21,22
"15",16,23,3,17,18,20,18,26,14,21,4,22,19,2,2,22,14,5,16,23,5
"16",25,8,12,9,19,6,24,8,8,18,5,23,6,8,24,6,20,19,19,9,8
"17",6,9,24,18,17,21,16,10,10,9,2,1,11,17,26,24,8,21,17,24,24
"18",18,25,7,1,8,17,15,11,11,26,18,6,16,15,27,3,7,6,4,2,11
"19",4,24,2,15,25,8,7,4,22,15,13,24,8,19,21,26,16,13,6,8,21
"20",19,17,9,19,13,12,19,25,27,6,3,13,26,23,20,8,26,16,13,3,26
"21",15,1,26,13,14,16,8,3,1,22,14,10,27,14,11,27,27,11,18,4,1
"22",11,16,8,25,9,10,22,14,3,25,15,11,3,4,8,18,11,23,26,5,27
"23",9,12,15,26,27,5,4,16,20,27,1,7,18,12,12,10,24,18,3,22,10
"24",12,4,1,14,10,1,9,9,23,3,20,15,10,16,4,4,12,27,15,25,4
"25",26,11,5,8,23,15,6,21,18,19,23,3,21,26,19,20,10,24,25,15,13
"26",23,27,25,20,24,19,10,20,2,1,10,14,12,1,14,2,15,26,7,11,14
"27",13,20,21,4,26,7,20,15,4,14,16,19,25,21,10,5,9,3,24,26,20
