"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",12,11,2,11,20,18,2,12,6,11,20,15,17,2,17,15,8,1,2,16
"2",1,9,21,8,5,21,1,11,11,3,11,14,7,20,1,9,2,14,14,15
"3",18,14,19,19,19,19,8,20,17,10,7,17,9,11,15,5,17,6,16,6
"4",19,15,5,2,1,11,14,8,12,17,2,19,10,3,13,8,7,15,19,19
"5",14,7,18,9,16,8,20,5,8,19,1,20,16,14,3,16,9,4,9,8
"6",11,12,4,15,21,12,10,6,18,20,21,3,3,13,2,4,5,18,10,9
"7",20,4,6,5,7,20,4,7,14,13,14,7,18,12,6,20,16,12,15,2
"8",4,19,16,7,18,17,17,14,4,21,13,4,14,4,7,10,18,13,18,12
"9",13,1,20,4,12,1,6,19,19,16,12,1,12,10,20,12,10,19,8,17
"10",17,16,17,12,9,3,13,1,13,4,18,12,15,8,4,7,20,10,1,21
"11",5,3,14,18,4,6,9,4,5,15,17,13,13,6,18,6,4,9,17,4
"12",7,13,7,20,3,4,5,16,7,18,10,18,11,19,8,17,21,16,4,10
"13",21,21,15,16,6,9,16,15,9,12,16,5,4,18,16,21,6,5,13,14
"14",8,10,8,13,17,2,15,18,21,2,9,9,21,7,9,19,1,8,21,11
"15",15,5,10,17,10,15,19,17,10,1,15,21,2,1,10,11,11,21,7,1
"16",2,6,9,21,11,16,18,9,15,14,8,6,19,21,14,2,12,7,5,20
"17",16,20,12,6,13,10,7,13,3,6,5,8,20,16,12,3,3,17,3,3
"18",3,18,3,3,14,5,21,10,16,5,19,16,8,17,19,13,14,11,12,5
"19",9,2,1,1,8,7,11,21,2,9,6,11,1,9,5,1,15,3,11,13
"20",10,8,11,14,15,14,12,2,1,7,4,10,6,15,21,18,19,20,20,18
"21",6,17,13,10,2,13,3,3,20,8,3,2,5,5,11,14,13,2,6,7
